; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
IVG Core 0173 AG;;;;;
I. Allgemeine Hinweise;;;;;
Mit Beschluss der Hauptversammlung vom 16.05.2014 wurde die IVG Immobilien Management REIT-AG in IVG Core 0173 AG umfirmiert. Zudem wurde die Umstellung auf das Kalenderjahr als Geschäftsjahr beschlossen. Aus diesem Grund ist die Vergleichbarkeit des sechsmonatigen Vorjahreszeitraum mit dem zwölf Monate umfassenden Berichtszeitraum nur eingeschränkt möglich.; 2 ;2015;IVG Core 0173 AG;Jahresabschluss;PwC
Der Jahresabschluss der IVG Core 0173 AG zum 31.12.2015 wurde nach den Vorschriften des Handelsgesetzbuches (HGB), des Aktiengesetzes (AktG) und den Grundsätzen ordnungsmäßiger Buchführung aufgestellt.; 8.0 ;2015;IVG Core 0173 AG;Jahresabschluss;PwC
Die Gesellschaft ist eine mittelgroße Kapitalgesellschaft im Sinne des § 267 Abs. 2 und 4 HGB. Die Gliederung erfolgte gemäß § 266 Abs. 2 und 3 HGB. Für die Gewinn- und Verlustrechnung wurde das Gesamtkostenverfahren gemäß § 275 Abs. 2 HGB gewählt. Der Jahresabschluss wurde unter der Annahme der Fortführung der Unternehmenstätigkeit gemäß § 252 Abs. 1 Nr. 2 HGB erstellt. Der Abschluss ist in Euro aufgestellt.; 8.0 ;2015;IVG Core 0173 AG;Jahresabschluss;PwC
II. Bilanzierungs- und Bewertungsmethoden;;2015;IVG Core 0173 AG;Jahresabschluss;PwC
Bei der Aufstellung der Bilanz und der Gewinn- und Verlustrechnung wurden folgende Bilanzierungs- und Bewertungsmethoden angewandt:; 8.0 ;2015;IVG Core 0173 AG;Jahresabschluss;PwC
"Das Sachanlagevermögen wird zu Anschaffungs- oder Herstellungskosten und, soweit abnutzbar, vermindert um planmäßige Abschreibungen angesetzt. Dabei werden die Gebäude als unbewegliche Anlagegüter linear über einen Zeitraum von 33 Jahren abgeschrieben. Soweit der beizulegende Zeitwert eines einzelnen Anlagegutes den Buchwert zum Bilanzstichtag unterschreitet und die Wertminderung von Dauer ist, wird gemäß § 253 Abs. 3 Satz 3 HGB eine außerplanmäßige Abschreibung auf den beizulegenden Wert vorgenommen. Als beizulegender Wert für das Anlagegut wird der gemäß IAS 40 ermittelte Fair Value angesetzt. Eine dauerhafte Wertminderung liegt vor, wenn der Buchwert zum Bilanzstichtag abzüglich der planmäßigen Abschreibungen der folgenden fünf Wirtschaftsjahre über dem beizulegenden Wert liegt.
Sofern nach einer außerplanmäßigen Abschreibung der beizulegende Zeit eines Anlagegutes über dem Buchwert zum Bilanzstichtag liegt, werden Zuschreibungen gemäß § 253 Abs. 5 HGB vorgenommen."; 8.7 ;2015;IVG Core 0173 AG;Jahresabschluss;PwC
Die Anlagen im Bau werden zu Anschaffungs- oder Herstellungskosten angesetzt.; 8.11 ;2015;IVG Core 0173 AG;Jahresabschluss;PwC
Die Anteile an verbundenen Unternehmen sowie Beteiligungen sind zu Anschaffungskosten bzw. zu niedrigeren beizulegenden Werten, auch bei voraussichtlich nicht dauernder Wertminderung (§ 253 Abs. 3 Satz 4 HGB), bilanziert.; 8.13 ;2015;IVG Core 0173 AG;Jahresabschluss;PwC
