; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
JOST-Werke Deutschland GmbH;;2016;GmbH;Jahresabschluss;PwC
Anhang für das Geschäftsjahr 2016;;2016;GmbH;Jahresabschluss;PwC
1. Allgemeine Angaben;;2016;GmbH;Jahresabschluss;PwC
"Der Sitz der Gesellschaft ist in der Siemensstraße 2 in 63263 Neu-Isenburg. Die Gesellschaft ist registriert im Handelsregister des
Amtsgerichtes Offenbach am Main unter Sektion B mit der Registernummer 42105."; 90   ;2016;GmbH;Jahresabschluss;PwC
"Der Abschluss für das Geschäftsjahr der JOST-Werke Deutschland GmbH ist nach den Vorschriften des Handelsgesetzbuches (HGB) in
der Fassung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRuG) unter Berücksichtigung des Gesetzes betreffend die Gesellschaften mit
beschränkter Haftung (GmbHG) für große Kapitalgesellschaften aufgestellt.";;2016;GmbH;Jahresabschluss;PwC
"Der Jahresabschluss ist in Euro (EUR) aufgestellt. Für die Darstellung der Gewinn- und Verlustrechnung wurde das
Gesamtkostenverfahren gewählt. Die Vorjahreszahlen in der Gewinn- und Verlustrechnung sind gemäß § 265 Abs. 2 Satz 2 HGB
beibehalten worden und wurden nicht an die neuen Vorschriften des BilRuG angepasst. In Abschnitt 3 und 4 des Anhangs sind bei
den entsprechenden Bilanz- und GuV-Posten Erläuterungen zu Unterschieden, die sich aus einer vorzeitigen Anwendung des BilRuG
ergeben hätten, enthalten."; 2, 3 ;2016;GmbH;Jahresabschluss;PwC
Die JOST-Werke Deutschland GmbH ist eine große Kapitalgesellschaft im Sinne von § 267 Abs. 3 HGB.;;2016;GmbH;Jahresabschluss;PwC
Geschäftsjahr ist das Kalenderjahr.;;2016;GmbH;Jahresabschluss;PwC
"Aus Gründen der Übersichtlichkeit erfolgt eine Zusammenfassung der Posten des Anlagevermögens in der Bilanz gem. § 265 Abs. 7
Nr. 2 HGB."; 7   ;2016;GmbH;Jahresabschluss;PwC
"Aus Gründen der Übersichtlichkeit erfolgt eine Zusammenfassung der Posten des Anlagevermögens in der Bilanz gem. § 265 Abs. 7
Nr. 2 HGB.";;2016;GmbH;Jahresabschluss;PwC
