; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;;;;
A. Allgemeine Angaben;;;;;
A. Allgemeine Angaben;;;;;
Der Jahresabschluss wurde auf der Grundlage der Gliederungs-, Bilanzierungs- und Bewertungsvorschriften des Handelsgesetzbuches aufgestellt. Ergänzend zu diesen Vorschriften wurden die Regelungen des Aktien Gesetzes beachtet.; 7.0 ;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
Nach den in § 267 HGB angegebenen Größenklassen ist die Gesellschaft eine kleine Kapitalgesellschaft. Größenabhängige Erleichterungen bei der Erstellung des Jahresabschlusses wurden teilweise in Anspruch genommen.; 7.0 ;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
Soweit ein Wahlrecht hinsichtlich einer Angabe in der Bilanz bzw. in der Gewinn- und Verlustrechnung einerseits oder dem Anhang andererseits besteht, wurde dieses Wahlrecht aus Gründen der Übersichtlichkeit grundsätzlich zu Gunsten der Angabe im Anhang ausgeübt.; 7.0 ;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
Für die Gewinn- und Verlustrechnung wurde das Gesamtkostenverfahren gewählt.; 7.0 ;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
Zum Bilanzstichtag ist durch Ausscheiden des Mitgesellschafters das Gesellschaftsvermögen von zwei Immobiliengesellschaften auf das Vermögen der KWG Kommunale Wohnen AG übergegangen (Anwachsung).; 7.0 ;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
Die Gliederung der Bilanz wurde an die Verordnung über Formblätter für die Gliederung des Jahresabschlusses von Wohnunternehmen angepasst. Durch die Anwendung der Vorschriften des BilRUGs haben sich keine wesentlichen Abweichungen zum Vorjahr ergeben.; 7.0 ;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
I. Bilanzierungsmethoden; 7.0 ;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
Im Jahresabschluss sind sämtliche Vermögensgegenstände, Schulden, Rechnungsabgrenzungsposten, Aufwendungen und Erträge enthalten, soweit gesetzlich nichts andere bestimmt ist. Die Posten der Aktivseite sind nicht mit Posten der Passivseite, Aufwendungen nicht mit Erträgen verrechnet worden.; 7.0 ;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
Das Anlage- und Umlaufvermögen, das Eigenkapital, die Schulden sowie die Rechnungsabgrenzungsposten wurden in der Bilanz gesondert ausgewiesen und hinreichend aufgegliedert.; 7.0 ;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
Das Anlagevermögen weist nur Gegenstände aus, die bestimmt sind, dem Geschäftsbetrieb dauernd zu dienen. Aufwendungen für die Gründung des Unternehmens und für die Beschaffung des Eigenkapitals sowie für immaterielle Vermögensgegenstände, die nicht entgeltlich erworben wurden, wurden nicht bilanziert.; 7.0 ;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
Rückstellungen wurden nur im Rahmen des § 249 HGB und Rechnungsabgrenzungsposten wurden nach den Vorschriften des § 250 HGB gebildet. Haftungsverhältnisse i. S. von § 251 HGB sind nachfolgend gesondert angegeben.; 7.0 ;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
II. Bewertungsmethoden;;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
Allgemeines;;2016;KWG Kommunale Wohnen AG;Jahresabschluss;N/A
