Anhang; Annotierung (Angabe Nummer in Anhangcheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang für das Geschäftsjahr vom 1. Oktober 2015 bis 30. September 2016;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Kirk Beauty One GmbH, Düsseldorf (vormals: Hagen);44;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
1 | Allgemeine Grundsätze;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
"Der Jahresabschluss der Kirk Beauty One GmbH zum 30. September 2016 wurde entsprechend den Vorschriften des Handelsgesetzbuches (HGB) und des GmbH Gesetzes (GmbHG) aufgestellt. Bei der Erläuterung
standen die Grundsätze Klarheit, Übersichtlichkeit und Wesentlichkeit im Vordergrund."; 7.0 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
"Die Kirk Beauty One GmbH ist eine kleine Kapitalgesellschaft im Sinne von § 267 Abs. 1 HGB. Sie wendet bei der Aufstellung des Abschlusses die kleinen Kapitalgesellschaften eingeräumten Erleichterungen
des HGB an."; 7.0 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Die Wertangaben in Bilanz und Gewinn- und Verlustrechnung erfolgen einheitlich in Millionen Euro (Mio.€).;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
2 | Grundsätze der Bilanzierung und Bewertung;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Anlagevermögen; 4.1, 7.1 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
"Unter Finanzanlagen sind Anteile an verbundenen Unternehmen und Ausleihungen an verbundene Unternehmen zu Anschaffungskosten bzw. dem niedrigeren beizulegenden Wert angesetzt. Die verzinslichen
Ausleihungen werden zum Nominalwert bilanziert."; 4.12, 7.12, 12 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Umlaufvermögen; 4.19, 7.19 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Forderungen und sonstige Vermögensgegenstände sind zu Anschaffungskosten bilanziert. Erkennbaren Risiken wird bei Bedarf durch Wertberichtigungen Rechnung getragen.; 4.25, 7.25 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Rückstellungen und Verbindlichkeiten;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Verbindlichkeiten sind mit ihrem Erfüllungsbetrag passiviert.; 4.51, 7.51 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
"Der Wertansatz der sonstigen Rückstellungen berücksichtigt alle zum Zeitpunkt der Bilanzierung erkennbaren Risiken, ungewissen Verpflichtungen und alle drohenden Verluste auf der Grundlage vorsichtiger
kaufmännischer Beurteilung zum Erfüllungsbetrag."; 4.50, 7.50 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Aufgrund der zum 1. Oktober 2015 begründeten steuerlichen Organschaft mit der Kirk Beauty Two GmbH ist die Kirk Beauty One GmbH als Organgesellschaft keinen Effekten aus latenten Steuern ausgesetzt.; 4.35, 7.35 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
3 | Währungsumrechnung;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Kurzfristige Fremdwährungsforderungen und Fremdwährungsverbindlichkeiten werden mit dem Wechselkurs am Bilanzstichtag umgerechnet.; 7.0 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Erläuterungen zur Gewinn- und Verlustrechnung;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
4 | Zinsergebnis;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
"Das Zinsergebnis entfällt mit 29,3 Millionen Euro (Vorjahr: 6,7 Millionen Euro) auf Erträge aus Ausleihungen an verbundene Unternehmen, mit 0,0 Millionen Euro (Vorjahr: 0,2 Millionen Euro) auf Zinserträge
gegen verbundene Unternehmen und mit 30,3 Millionen Euro (Vorjahr: 6,8 Millionen Euro) auf Zinsaufwendungen, hiervon 1,0 Millionen Euro (Vorjahr: 0,0 Millionen Euro betreffend verbundene Unternehmen."; 4.85, 7.85 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Erläuterungen zur Bilanz;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
5 | Anlagevermögen;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
"Finanzanlagen
in Mio €
Anteile an verbundenen
Unternehmen
Ausleihungen an verbundene
Unternehmen Gesamt
Anschaffungs- und Herstellungskosten
Stand 1.10.15 1.125,0 330,9 1.455,9
Zugänge 0,0 30,5 30,5
Abgänge 0,0 29,7 29,7
Stand 30.09.16 1.125,0 331,7 1.456,7
kumulierte Abschreibungen
Stand 30.09.16 0,0 0,0 0,0
Nettowerte
Stand 30.09.16 1.125,0 331,7 1.456,7
Stand 30.09.15 1.125,0 330,9 1.455,9
Abschreibungen des Geschäftsjahres 0,0 0,0 0,0
Unter den Finanzanlagen werden die Anteile an der Douglas GmbH sowie eine an die Douglas GmbH ausgereichte Ausleihung ausgewiesen."; 4.12, 6 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
6 | Forderungen und sonstige Vermögensgegenstände;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
"Unter den Forderungen und sonstigen Vermögensgegenständen wird die Forderung gegen die Kirk Beauty Two GmbH ausgewiesen, die überwiegend durch die Übernahme des Jahresfehlbetrages des Geschäftsjahres
2015/16 entstanden ist."; 4.25 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
7 | Rechnungsabgrenzungsposten;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
"Im Vorjahr wurde ein Disagio ausgewiesen, das in Zusammenhang mit der Begebung der Anleihe von den Emissionsbanken einbehalten wurde. Dieses Disagio wurde im abgelaufenen Geschäftsjahr freiwillig
in voller Höhe aufwandswirksam amortisiert, um eine Vereinheitlichung mit der Bilanzierung in der Steuerbilanz zu erreichen."; 4.34 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
8 | Rückstellungen;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Die Sonstigen Rückstellungen entfallen wie im Vorjahr auf die Prüfung des von der Gesellschaft aufgestellten Einzel- und Konzernabschlusses.; 4.50 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
9 | Verbindlichkeiten;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
"in Mio € 30.09.2016 Restlaufzeit bis 1 Jahr
Restlaufzeit mehr als 5
Jahre 30.09.2015
Anleihen 341,1 6,1 335,0 341,5
Verbindlichkeiten gegenüber verbundenen Unternehmen 255,0 251,9 0,0 0,0
in Mio € 30.09.2016 Restlaufzeit bis 1 Jahr
Restlaufzeit mehr als 5
Jahre 30.09.2015
596,1 258,0 335,0 341,5
Die Verbindlichkeiten gegenüber verbundenen Unternehmen resultieren im Wesentlichen aus der Übernahme des Jahresfehlbetrages 2015/16 der Douglas GmbH."; 4.51, 25 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
10 | Sonstige Angaben;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Haftungsverhältnisse;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
"Die Kirk Beauty One GmbH haftet für Anleiheverbindlichkeiten der Douglas GmbH, Düsseldorf, sowie für Verbindlichkeiten aus Darlehen der Douglas GmbH und weiterer Tochtergesellschaften mit Höchstbetragsbürgschaften
in Höhe von 1.873,9 Millionen Euro, die mit 1.673,9 Millionen Euro valutieren. Die Inanspruchnahme aus diesen Verpflichtungen hängt von der Ertragskraft der Gesellschaften der Douglas-
Gruppe ab.";27;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Aufgrund der Ertragskraft der Tochtergesellschaften der Douglas GmbH wird eine Inanspruchnahme aus den Bürgschaften und Patronatserklärungen als unwahrscheinlich eingeschätzt.;27;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
"Zur Besicherung dieser Verbindlichkeiten hat die Kirk Beauty One GmbH ihre Anteile an der Douglas GmbH und Ausleihungen gegen die Douglas GmbH sowie Forderungen gegen weitere verbundene
Unternehmen in Höhe von insgesamt 1.721,2 Millionen Euro als Sicherheit verpfändet."; 26, 27 ;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Angaben zu nahe stehenden Unternehmen und Personen;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Die Geschäftsbeziehungen zu nahe stehenden Unternehmen und Personen erfolgen wie unter fremden Dritten.;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Konzernzugehörigkeit;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
"Die Kirk Beauty One GmbH, Düsseldorf, HRB 79429 stellt einen Konzernabschluss auf, der im elektronischen Bundesanzeiger veröffentlicht wird. Als Mutterunternehmen mit dem größten Konsolidierungskreis
stellt die Kirk Beauty S.a.r.l., Luxemburg, einen Konzernabschluss auf.";40;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
11 | Gewinnverwendung;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Der Jahresfehlbetrag für das Geschäftsjahr 2015/16 in Höhe von 265.327.298,26 Euro wurde aufgrund eines Ergebnisabführungsvertrages in voller Höhe von der Kirk Beauty Two GmbH, Düsseldorf, übernommen.;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
12 | Aufwendungen für Honorare des Abschlussprüfers;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Der Honoraraufwand für den Abschlussprüfer ist in den Angaben enhalten, die im Konzernanhang der Kirk Beauty One GmbH, Düsseldorf, offengelegt werden.;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Anteilsbesitz;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
Der Anteilsbesitz gibt einen Überblick über die direkten und indirekten Tochtergesellschaften sowie weitere Beteiligungen.;;2015/2016;Kirk Beauty One GmbH; Jahresabschluss;Mazars
