; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;;;;
Form der Rechnungslegung;;2016;LEW Verteilnetz GmbH;Jahresabschluss;PwC
Die LEW Verteilnetz GmbH mit Sitz in Augsburg bündelt das regulierte Netzgeschäft der LEW-Gruppe. Sie führt als große Netzgesellschaft neben dem Netzbetrieb die operativen Netztätigkeiten (Netzführung, Bau, Wartung und Instandhaltung) und die netznahen Querschnittsfunktionen aus. Als unabhängiger Netzbetreiber gewährleistet sie einen diskriminierungsfreien Netzzugang für die Marktteilnehmer sowie die Umsetzung regulatorischer Vorgaben, einschließlich der Netzentgeltkalkulation. Die Gesellschaft ist im Handelsregister des Amtsgerichts Augsburg unter HRB 20929 eingetragen.; 90 ;2016;LEW Verteilnetz GmbH;Jahresabschluss;PwC
Zur Verbesserung der Klarheit wurden in der Bilanz sowie in der Gewinn- und Verlustrechnung einzelne Posten zusammengefasst und im Anhang gesondert ausgewiesen.; 7 ;2016;LEW Verteilnetz GmbH;Jahresabschluss;PwC
Das Geschäftsjahr ist das Kalenderjahr.; 8.0 ;2016;LEW Verteilnetz GmbH;Jahresabschluss;PwC
Der Jahresabschluss wurde nach den Vorschriften des Dritten Buches des Handelsgesetzbuches (HGB) und des GmbH-Gesetzes aufgestellt.; 8.0 ;2016;LEW Verteilnetz GmbH;Jahresabschluss;PwC
"Das Messstellenbetriebsgesetz (MsbG) wurde am 29.08.2016 verabschiedet und ist am 02.09.2016 in Kraft getreten. Nach § 3 MsbG ist die Unabhängigkeit des grundzuständigen Messstellenbetriebs für moderne Messeinrichtungen und intelligente Messsysteme von anderen Tätigkeitsbereichen der Energieversorgung über die buchhalterische Entflechtung sicherzustellen; die §§ 6b, 6c und 54 EnWG sind entsprechend anzuwenden. Im Netzgebiet der LEW Verteil-netz GmbH sind derzeit keine entsprechenden Geräte eingebaut. Die LEW Verteilnetz GmbH hat durch die Beteiligung an der MeteringSüd GmbH & Co. KG erste Vorbereitungen hierfür getroffen. Bisher sind hierfür nur Vorlaufkosten in geringfügiger Höhe angefallen.";;2016;LEW Verteilnetz GmbH;Jahresabschluss;PwC
Bilanzierungs- und Bewertungsmethoden;;2016;LEW Verteilnetz GmbH;Jahresabschluss;PwC
Aktiva;;2016;LEW Verteilnetz GmbH;Jahresabschluss;PwC
Entgeltlich erworbene immaterielle Vermögensgegenstände sind zu Anschaffungskosten erfasst und werden entsprechend ihrer voraussichtlichen Nutzungsdauer linear abgeschrieben.; 8.3 ;2016;LEW Verteilnetz GmbH;Jahresabschluss;PwC
