Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Konzernanhang für 2016;;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Allgemeine Hinweise;;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Der vorliegende Konzernabschluss wurde gemäß §§ 290 ff. HGB in der Fassung des BilRUG aufgestellt.; 9.0 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Zur Darstellung der Forderungen aus Factoring wurde von der Regelung des § 265 Abs. 5 HGB Gebrauch gemacht.; 9.0 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Die für einzelne Positionen der Bilanz geforderten Zusatzangaben wurden in den Anhang übernommen. Die Konzern-Gewinn- und Verlustrechnung wurde nach dem Gesamtkostenverfahren aufgestellt.; 9.0 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Die Aufstellung des Konzernabschlusses und des Lageberichts erfolgte in EURO (EUR) als funktionale Währung.; 9.0 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Registerinformationen;83;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Die Gesellschaft ist unter der Firma LUKAD HOLDING GmbH & Co. KG mit Sitz in Werdohl im Handelsregister des Amtsgerichts Iserlohn unter der Nummer HRA 2579 eingetragen.;83;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Konsolidierungskreis;;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Der Konzernabschluss wird durch die LUKAD HOLDING GmbH & Co. KG, Werdohl, (LUKAD) als Muttergesellschaft aufgestellt.;;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Der Konzernabschluss umfasst 18 (Vorjahr 18) inländische und 31 (Vorjahr 31) ausländische vollkonsolidierte Tochterunternehmen sowie 1 (Vorjahr 1) nach der Equity-Methode einbezogene Gesellschaft.;;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Meniber Industries S.A. de C.V., Lerma, Mexico, wurde in 2016 liquidiert und scheidet demnach zum 31.12.2016 aus dem Konsolidierungskreis aus.;85;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Ausweisänderungen;;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Aufgrund der im BilRUG vorgesehenen Änderung der Umsatzerlöse wurden einzelne Posten aus den sonstigen Erträgen erstmals unter den Umsatzerlösen ausgewiesen. Die Vorjahreszahlen wurden entsprechend angepasst.; 2, 4 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Bilanzierungs- und Bewertungsgrundsätze;;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Für die Aufstellung des Konzernabschlusses waren im Wesentlichen unverändert die nachfolgenden Bilanzierungs- und Bewertungsmethoden maßgebend.; 9.0 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Die Abschlüsse der in den Konzernabschluss der LUKAD einbezogenen Unternehmen wurden nach einheitlichen Bilanzierungs- und Bewertungsgrundsätzen erstellt.; 9.0 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
"Realisations- und Imparitätsprinzip wurden beachtet; Vermögensgegenstände wurden höchstens zu Anschaffungs- und Herstellungskosten angesetzt."; 9.0 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Die Bewertung der immateriellen Vermögensgegenstände sowie der Sach- und Finanzanlagen erfolgte zu Anschaffungs- oder Herstellungskosten unter Berücksichtigung von Abschreibungen. Planmäßige Abschreibungen werden nach Maßgabe der voraussichtlichen Nutzungsdauer erfasst. Soweit steuerlich zulässig, wurde in den Vorjahren in den deutschen Gesellschaften z.T. für bewegliche Anlagegüter die geometrisch-degressive Abschreibungsmethode angewandt. Zur linearen Methode wird hierbei in dem Jahr, für welches die lineare Methode erstmals zu höheren Jahresabschreibungsbeträgen führt, übergegangen. Die übrigen Anlagegüter werden linear abgeschrieben. Die Abschreibung immaterieller Vermögenswerte erfolgt linear über einen Zeitraum von 3 Jahren. Der Geschäfts- oder Firmenwert wird wegen der Nachhaltigkeit und der Ertragsaussichten über eine Laufzeit von 15 Jahren abgeschrieben.; 9.2, 9.7, 14 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Vorräte werden zu durchschnittlichen Anschaffungs- oder Herstellungskosten unter Beachtung des Niederstwertprinzips ausgewiesen. Die Herstellungskosten enthalten Einzelkosten zuzüglich angemessener Gemeinkosten. Kosten der allgemeinen Verwaltung sowie Fremdkapitalzinsen werden nicht aktiviert. Das Bestands- und Vertriebsrisiko sowie eine ungünstige Ertragslage werden durch Abschreibungen berücksichtigt.; 9.20, 10 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Forderungen und sonstige Vermögensgegenstände wurden zu Nennwerten abzüglich Wertabschlägen für Einzelrisiken und für das allgemeine Kreditrisiko bilanziert. Unverzinsliche oder niedrig verzinsliche Forderungen mit einer Laufzeit von mehr als einem Jahr werden abgezinst.; 9.25 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Liquide Mittel wurden zum Nennwert angesetzt.; 9.33 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
"Die Rückstellungen für Pensionen und ähnliche Verpflichtungen wurden im Wesentlichen bei der Walter Stauffenberg GmbH & Co. KG, Werdohl, sowie der Voswinkel GmbH, Meinerzhagen, nach der Anwartschaftsbarwertmethode unter Verwendung der ""Richttafeln 2005 G"" ermittelt. Für die Abzinsung wurde pauschal der durchschnittliche Marktzinssatz bei einer restlichen Laufzeit von 15 Jahren von 4,01 % (Vj. 3,94 %) gemäß der Rückstellungsabzinsungsverordnung vom 18. November 2009 verwendet. Erwartete Gehaltssteigerungen wurden mit 0 % (Vj. 2,0 %) und erwartete Rentensteigerungen mit 2,0 % (Vj. 2,0 %) berücksichtigt."; 9.48, 35 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Im Geschäftsjahr 2016 wurde die Bewertung der Rückstellungen für Pensionen und ähnliche Verpflichtungen dahingehend umgestellt, dass abweichend zum Vorjahr zur Abzinsung der durchschnittliche Marktzinssatz verwendet wurde, der sich aus den vergangenen zehn Geschäftsjahren ergibt (Vj. durchschnittlicher Marktzinssatz der vergangenen sieben Geschäftsjahre). Der daraus resultierende Unterschiedsbetrag nach § 253 Abs. 6 HGB beträgt TEUR 331.; 9.48, 36 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Altersteilzeitverpflichtungen werden als vergleichbar langfristig fällige Verpflichtungen im Sinne des § 253 Abs. 2 Satz 2 HGB angesehen. Sie wurden pauschal mit den durchschnittlichen Marktzinssätzen zwischen 1,68 % (Vj. 2,34 %) und 2,14 % (Vj. 3,94 %) abgezinst, die sich aufgrund der jeweiligen angenommenen Restlaufzeiten ergeben. Hierzu bestehende kongruente, dem Zugriff aller übrigen Gläubiger entzogene Rückdeckungsversicherungen (Deckungsvermögen i. S. d. § 246 Abs. 2 Satz 2 HGB), die mit den Altersteilzeitverpflichtungen saldiert wurden. Da kein aktiver Markt besteht, anhand dessen sich der Marktpreis der Rückdeckungsversicherungen ermitteln lässt, wurden die Rückdeckungsversicherungen mit dem Aktivwert bewertet.; 9.50, 38 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Die Steuerrückstellungen und die sonstigen Rückstellungen berücksichtigen alle ungewissen Verbindlichkeiten und drohende Verluste aus schwebenden Geschäften. Sie sind in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrags (d. h. einschließlich zukünftiger Kosten- und Preissteigerungen) angesetzt. Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr wurden abgezinst.; 9.49 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Die Verbindlichkeiten wurden mit den Erfüllungsbeträgen angesetzt.; 9.51 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Für die Ermittlung latenter Steuern aufgrund von temporären oder quasi-permanenten Differenzen zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten und ihren steuerlichen Wertansätzen oder aufgrund steuerlicher Verlustvorträge werden diese mit den unternehmensindividuellen Steuersätzen im Zeitpunkt des Abbaus der Differenzen bewertet und die Beträge der sich ergebenden Steuerbe- und -entlastung nicht abgezinst. Dabei werden auch Differenzen, die auf Konsolidierungsmaßnahmen gemäß den §§ 300 bis 307 HGB beruhen, berücksichtigt, nicht jedoch Differenzen aus dem erstmaligen Ansatz eines Geschäfts- oder Firmenwerts bzw. eines negativen Unterschiedsbetrags aus der Kapitalkonsolidierung. Aktive und passive Steuerlatenzen werden unsaldiert ausgewiesen.; 9.35, 9.64, 25 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
"Bei der Ermittlung der latenten Steuern im Bereich der Zwischengewinneliminierung wurde entgegen DRS 18 bei konzerninternen Lieferungen nicht der zukünftige Steuersatz desjenigen Unternehmens zugrunde gelegt, das die Lieferung empfangen hat, sondern der aktuelle Steuersatz des liefernden Unternehmens. Es handelt sich um die Abgrenzung von in den Einzelabschlüssen bereits aufwandswirksam berücksichtigten, mit aktuellen Steuersätzen berechneten Steuern der liefernden Unternehmen für abgeschlossene Geschäftsjahre. Der Spread zwischen den in Deutschland lediglich zu berücksichtigenden Gewerbesteuern und den
z.T. erheblich höheren ausländischen Ertragssteuern würde zudem zu einem ungerechtfertigt hohen Ausweis von latenten Steuerguthaben führen."; 9.35, 9.64, 25 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Währungsumrechnung;;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Anteile an verbundenen Unternehmen sowie das Eigenkapital (gezeichnetes Kapital, Rücklagen, Ergebnisvortrag) in den Abschlüssen der einbezogenen ausländischen Unternehmen wurden zu historischen Kursen umgerechnet. Die Differenzen zu einer Umrechnung zum jeweiligen Devisenkassamittelkurs des Bilanzstichtages in Höhe von TEUR 5.553 (Vj. TEUR 4.995) wurden erfolgsneutral in den Eigenkapitalposten „Eigenkapitaldifferenz aus Währungsumrechnung“ eingestellt.; 9.0 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Die übrigen Positionen der Bilanz wurden zum jeweiligen Devisenkassamittelkurs des Stichtages in Euro, die Positionen der Gewinn- und Verlustrechnung zu den Jahresdurchschnittskursen in Euro umgerechnet.; 9.0 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Konsolidierungsgrundsätze;;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Die Kapitalkonsolidierung der Unternehmen im vorliegenden Abschluss entspricht der Neubewertungsmethode.; 9.0 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Der Geschäfts- oder Firmenwert aus der Konsolidierung wurde einheitlich über eine Laufzeit von 5 Jahren linear abgeschrieben.; 9.0, 14, 92 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Forderungen und Verbindlichkeiten, Umsätze sowie Aufwendungen und Erträge innerhalb des Konsolidierungskreises wurden eliminiert.; 9.0 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Konzerninterne Ergebnisse aus Lieferungen und Leistungen zwischen verbundenen Unternehmen wurden eliminiert.; 9.0 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Erläuterungen zur Konzernbilanz;;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Anlagevermögen; 5.1 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Die Entwicklung des Konzern-Anlagevermögens ist unter Angabe der Abschreibungen des Geschäftsjahres im Anlagespiegel (Anlage I zum Konzernanhang) dargestellt.; 5.1, 15, 16 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
Forderungen und sonstige Vermögensgegenstände; 5.25 ;2016;LUKAD HOLDING GmbH & Co. KG;Konzernabschluss;EY
