; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;;;;
Anhang für das Geschäftsjahr 2016;;;;;
der MDN Main-Donau Netzgesellschaft mbH, Nürnberg;;;;;
A Allgemeine Angaben;;;;;
Die Firma MDN Main-Donau Netzgesellschaft mbH (MDN) mit Sitz in Nürnberg ist im Handelsregister B des Amtsgerichts Nürnberg unter der Nummer HRB 23081 eingetragen; 90 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Der Jahresabschluss der MDN ist nach den Vorschriften des Handelsgesetzbuches (HGB) für große Kapitalgesellschaften und des Energiewirtschaftsgesetzes (EnWG) aufgestellt. Die Gewinn- und Verlustrechnung wird nach dem Gesamtkostenverfahren gegliedert. Das Geschäftsjahr ist das Kalenderjahr.; 8.0 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Zum 1. Januar 2016 wurden die Neuerungen des Bilanzrichtlinien-Umsetzungsgesetz (BilRUG) umgesetzt. Wesentliche Gegenstände der Änderung sind zum einem die Gliederung der Gewinn- und Verlustrechnung sowie die Neufassung der Umsatzdefinition, die Umgliederungen von sonstigen betrieblichen Erträgen in den Umsatzerlösen zur Folge hatten. Spiegelbildlich wurden die Aufwendungen hierzu von den sonstigen betrieblichen Aufwendungen dem Materialaufwand zugeordnet.; 1 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Die Vorjahreswerte wurden nicht angepasst und sind nur eingeschränkt vergleichbar.; 2 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
"Aus Gründen der Übersichtlichkeit ist die Gewinn- und Verlustrechnung um die Position „Ergebnis der Geschäftstätigkeit"" (Position 12) ergänzt, welches eine Steuerungsgröße darstellt.";;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Die zur übersichtlicheren Darstellung in der Bilanz sowie der Gewinn- und Verlustrechnung zusammengefassten Posten sind im Anhang gesondert ausgewiesen bzw. erläutert. Aus diesem Grund werden Davon-Vermerke ebenfalls im Anhang dargestellt. Die Ziffern in der Vorspalte der Bilanz sowie der Gewinn- und Verlustrechnung entsprechen denen der Erläuterungen im Anhang.; 7 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Tätigkeiten nach § 6b Abs. 3 EnWG;;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Die MDN gilt nach § 3 Nr. 18 und Nr. 38 EnWG als vertikal integriertes Energieversorgungsunternehmen und hat gemäß § 6b Abs. 3 Satz 1 und 2 EnWG für ihre Tätigkeiten im Bereich der Elektrizitäts- und Gasverteilung getrennte Konten zu führen,;;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
sowie je eine Bilanz und Gewinn- und Verlustrechnung für diese Tätigkeiten aufzustellen. Darüber hinaus werden noch Tätigkeiten außerhalb des Elektrizitäts- und Gassektors vorgenommen, für die gem. § 6b Abs. 3 Satz 4 EnWG ebenfalls getrennte Konten geführt werden. Die zahlenmäßige Entwicklung der Tätigkeiten Elektrizitäts- und Gasverteilung ist in den Tätigkeitsabschlüssen, bestehend aus jeweils einer Bilanz sowie Gewinn- und Verlustrechnung mit Erläuterungen und einer eigenen Entwicklung des Anlagevermögens, dargestellt.;;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
"B Bilanzierungs- und Bewertungsmethoden
";;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Anlagevermögen; 8.1 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Immaterielle Vermögensgegenstände und Sachanlagen werden zu Anschaffungs- oder Herstellungskosten, vermindert um planmäßige Abschreibungen, bilanziert. Die Abschreibungen erfolgten planmäßig über die Nutzungsdauer und beginnen im Zugangsmonat.; 8.2, 8.7 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Bei Sachanlagen, die vor dem 1. Januar 2010 angeschafft worden sind, wird vom Beibehaltungswahlrecht nach Art. 67 Abs. 4 Satz 1 EGHGB Gebrauch gemacht. Hierbei wird im steuerlich zulässigen Rahmen grundsätzlich degressiv, im Übrigen linear abgeschrieben und zum jeweils günstigsten Zeitpunkt zur linearen Abschreibungsmethode übergegangen.; 8.7, 11, 62 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Den Abschreibungen auf immaterielle Vermögensgegenstände und Sachanlagen liegen im Wesentlichen die folgenden Nutzungsdauern zu Grunde:; 8.2, 8.7 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
"Nutzungsdauer in Jahren
Immaterielle Vermögensgegenstände 3 - 25
Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken 14 - 50
Technische Anlagen und Maschinen 4 - 37
andere Anlagen, Betriebs und Geschäftsausstattung 3 - 14"; 8.2, 8.7 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
"Zusätzliche Abschreibungen nach steuerrechtlichen Vorschriften sind in der Position „Sonderposten mit Rücklageanteil"" enthalten. Hier wurde vom Beibehaltungsrecht in analoger Anwendung von Art. 67 Abs. 3 Satz 1 EGHGB Gebrauch gemacht."; 8.2, 8.7, 32, 62 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Geleistete Anzahlungen sind zum Nominalwert und Anlagen im Bau sind mit den bisher angefallenen Anschaffungs- und Herstellungskosten bilanziert. Bei den Herstellungskosten der selbst erstellten Anlagen sind in angemessenem Umfang Gemeinkosten berücksichtigt (aktivierte Eigenleistungen).; 8.11 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Die erhaltenen Investitionszuschüsse werden von den Anschaffungs- und Herstellungskosten der betroffenen Vermögensgegenstände abgesetzt. Selbstständig nutzbare und bewegliche Wirtschaftsgüter, deren Anschaffungs- oder Herstellungskosten 150 €, aber nicht 410 € übersteigen, werden im Zugangsjahr in voller Höhe abgeschrieben.; 8.2, 8.7 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Die unter den Finanzanlagen ausgewiesenen unverzinslichen Ausleihungen werden zum Barwert aktiviert.; 8.12 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Umlaufvermögen; 8.19 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Vorräte werden zu Anschaffungs- oder Herstellungskosten unter Beachtung des Niederstwertprinzips bewertet. Dem Risiko wegen geminderter Verwendbarkeit wird durch entsprechende Wertabschläge Rechnung getragen. Der Ansatz der Roh-, Hilfs- und Betriebsstoffe sowie der Waren entspricht dem gleitenden Durchschnitt aus Anschaffungskosten oder den niedrigeren Wiederbeschaffungskosten. Fertige und unfertige Leistungen sind mit den Herstellungskosten, welche ausschließlich Materialeinzelkosten enthalten, bilanziert.; 8.20 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
"Forderungen und sonstige Vermögensgegenstände sind grundsätzlich mit ihrem Nennwert oder dem niedrigeren beizulegenden Wert bilanziert. Erkennbare Risiken sind durch Wertberichtigungen berücksichtigt. Die Forderungen aus Lieferungen und Leistungen für die Netznutzung gegen Kunden mit registrierender Lastgangmessung und Weiterverteiler beruhen grundsätzlich auf Stichtagsablesungen; nicht abgerechnete Lieferungen und Leistungen sind zum Bilanzstichtag auf Grundlage einer zählpunkt-bezogenen Hochrechnung abgegrenzt worden. Den Forderungen gegen Händler, die Standardlastprofilkunden versorgen, lag die rollierende Jahresverbrauchsabrechnung zugrunde, wobei die zum Bilanzstichtag abgegrenzten, noch nicht abgelesenen Lieferungen und Leistungen auf Grundlage einer zählpunktbezogenen Hochrechnung ermittelt wurden. Von diesen Forderungen sind die erhaltenen Abschlagszahlungen offen abgesetzt. Flüssige Mittel werden zu Nominalbeträgen bewertet."; 8.25 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Aktiver Rechnungsabgrenzungsposten; 8.34 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Der aktive Rechnungsabgrenzungsposten ist in Höhe des abzugrenzenden Betrags angesetzt.; 8.34 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Eigenkapital; 8.37 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Der Ansatz des Eigenkapitals erfolgt zum Nennwert.; 8.37 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Sonderposten mit Rücklageanteil; 32 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Von der Übergangsregelung des Art. 67 Abs. 3 Satz 1 EGHGB wird Gebrauch gemacht, sodass der Sonderposten mit Rücklageanteil, der überwiegend nach den Vorschriften des § 6b EStG gebildet wurde, beibehalten wird.; 32 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Zuschüsse;;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Baukostenzuschüsse und Zuschüsse für Hausanschlusskosten, die bis zum 31. Dezember 2010 vereinnahmt wurden, sind passiviert worden und werden jährlich mit 5 % erfolgswirksam aufgelöst.;;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Die ab dem 1. Januar 2011 vereinnahmten Baukostenzuschüsse für das von der N-ERGIE und der Überlandwerk Schäftersheim GmbH & Co. KG gepachtete Netz werden von der MDN unmittelbar weitergeleitet.;;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Die im Zuge der Verschmelzung mit der Frankengas GmbH und den Teilbetriebsüber-gängen der N-ERIGE Aktiengesellschaft übertragenen Sonderposten für Investitionszuschüsse werden entsprechend der Restnutzungsdauer des betreffenden Anlagevermögens aufgelöst. Die als Ertragszuschüsse übernommenen Posten werden jährlich mit 5 % erfolgswirksam aufgelöst.;;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Rückstellungen; 8.47 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
Die Pensionsrückstellungen wurden nach versicherungsmathematischen Grundsätzen mit dem Teilwertverfahren ermittelt. Grundlagen des Gutachtens sind die Richttafeln 2005G von Prof. Dr. Klaus Heubeck und der durch die Deutsche Bundesbank bekannt gegebene Rechnungszinsfuß von 4,01 % (Vorjahr 3,89 %), der dem durchschnittlichen Marktzins der vergangenen zehn Geschäftsjahre (Vorjahr sieben Geschäftsjahre) bei einer angenommenen Laufzeit von 15 Jahren entspricht. Zudem sind wie im Vorjahr ein Gehaltstrend von 2,5 % und eine Fluktuationsrate von 2,0 % berücksichtigt. Der Rentenanpassung wird ebenfalls wie im Vorjahr mit 1,7 % für allgemeine Versorgungen und mit 2,0 % für Einzelzusagen Rechnung getragen.; 8.48, 34 ;2016;MDN Main-Donau Netzgesellschaft mbH;Jahresabschluss;PwC
