; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;;;;
Konzernanhang für das Geschäftsjahr 2016;;;;;
der N-ERGIE Aktiengesellschaft, Nürnberg;;;;;
A Allgemeine Erläuterungen;;2016;N-ERGIE AG;Konzernabschluss;PwC
Die Firma N-ERGIE Aktiengesellschaft, mit Sitz in Nürnberg ist im Handelsregister B des Amtsgerichts Nürnberg unter der Nummer HRB 17412 eingetragen.; 88 ;2016;N-ERGIE AG;Konzernabschluss;PwC
Der Konzernabschluss wurde nach den Vorschriften des Handelsgesetzbuchs (HGB), des Aktiengesetzes (AktG) sowie des Deutschen Rechnungslegungsstandards (DRS) aufgestellt. Die Konzern-Gewinn- und Verlustrechnung wird nach dem Gesamtkostenverfahren gegliedert. Geschäftsjahr ist das Kalenderjahr. Der Konzernabschluss ist auf Tausend Euro gerundet.; 9.0 ;2016;N-ERGIE AG;Konzernabschluss;PwC
Zum 1. Januar 2016 wurden die Neuerungen des Bilanzrichtlinien-Umsetzungsgesetz (BilRUG) umgesetzt. Wesentliche Gegenstände der Änderung sind zum einem die Gliederung der Gewinn- und Verlustrechnung sowie die Neufassung der Umsatzdefinition, die Umgliederungen von sonstigen betrieblichen Erträgen in den Umsatzerlösen zur Folge hatten. Spiegelbildlich wurden die Aufwendungen hierzu von den sonstigen betrieblichen Aufwendungen dem Materialaufwand zugeordnet.; 2, 48 ;2016;N-ERGIE AG;Konzernabschluss;PwC
Die Vorjahreswerte wurden nicht angepasst und sind nur eingeschränkt vergleichbar.; 3 ;2016;N-ERGIE AG;Konzernabschluss;PwC
"Aus Gründen der Übersichtlichkeit ist die Gewinn- und Verlustrechnung um die Position „Ergebnis der Geschäftstätigkeit"" (Position 10) ergänzt, welches eine Steuerungsgröße darstellt."; 2 ;2016;N-ERGIE AG;Konzernabschluss;PwC
Zur Verbesserung der Klarheit und der Übersichtlichkeit sind in der Konzernbilanz sowie der Konzern-Gewinn- und Verlustrechnung zusammengefasste Posten im Konzernanhang gesondert ausgewiesen bzw. erläutert. Aus diesem Grund werden Davon-Vermerke ebenfalls im Konzernanhang dargestellt. Die Ziffern in der Vorspalte der Konzernbilanz sowie der Konzern-Gewinn- und Verlustrechnung entsprechen denen der Erläuterungen im Konzernanhang.; 8 ;2016;N-ERGIE AG;Konzernabschluss;PwC
In der gesondert dargestellten Kapitalflussrechnung sind die Zahlungsströme entsprechend der Verlautbarung des Deutschen Standardisierungsrats (DRS 21) nach den Bereichen Geschäfts-, Investitions- und Finanzierungstätigkeit gegliedert.;;2016;N-ERGIE AG;Konzernabschluss;PwC
Der Konzernabschluss der N-ERGIE Aktiengesellschaft wird in den Konzernabschluss der Städtische Werke Nürnberg Gesellschaft mit beschränkter Haftung (StWN), Nürnberg, einbezogen. Dieser wird nach Einreichung beim Betreiber des Elektronischen Bundesanzeigers offengelegt. Die N-ERGIE Aktiengesellschaft hat auf die befreiende Wirkung gemäß § 291 HGB verzichtet und einen eigenen Konzernabschluss aufgestellt.; 67 ;2016;N-ERGIE AG;Konzernabschluss;PwC
B Konsolidierungskreis;;2016;N-ERGIE AG;Konzernabschluss;PwC
In den Konzernabschluss werden die N-ERGIE Aktiengesellschaft als Mutterunternehmen und alle Tochterunternehmen von wesentlicher Bedeutung einbezogen, an denen der N-ERGIE Aktiengesellschaft unmittelbar oder mittelbar die Mehrheit der Stimmrechte zusteht.;;2016;N-ERGIE AG;Konzernabschluss;PwC
Der Konsolidierungskreis des Konzernabschlusses umfasst wie im Vorjahr 50 inländische Unternehmen und die N-ERGIE Aktiengesellschaft. Neben der N-ERGIE Aktiengesellschaft gehören wie im Vorjahr 15 verbundene Unternehmen zum Kreis der vollkonsolidierten Unternehmen.;;2016;N-ERGIE AG;Konzernabschluss;PwC
Als assoziierte Unternehmen werden wie im Vorjahr 35 Gesellschaften nach der Equity-Methode bewertet.;;2016;N-ERGIE AG;Konzernabschluss;PwC
Soweit eine Einbeziehung nach § 296 Abs. 2 HGB bzw. eine Bewertung nach § 311 Abs. 2 HGB unterblieb, handelt es sich um Beteiligungen, die für die Vermittlung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens-, Finanz- und Ertragslage des Konzerns von untergeordneter Bedeutung sind bzw. bei denen ein maßgeblicher Einfluss auf die Geschäfts- und Finanzpolitik nicht gegeben ist. Die Zuordnung der Unternehmen ist in der Aufstellung des Anteilsbesitzes ersichtlich.; 94, 101 ;2016;N-ERGIE AG;Konzernabschluss;PwC
C Konsolidierungsgrundsätze;;2016;N-ERGIE AG;Konzernabschluss;PwC
Die Abschlüsse der konsolidierten Unternehmen werden entsprechend den gesetzlichen Vorschriften nach einheitlichen Bilanzierungs- und Bewertungsgrundsätzen aufgestellt, soweit die Voraussetzungen bei der Verschiedenartigkeit der Betätigungsgebiete der in den Konzernabschluss einbezogenen Gesellschaften vorliegen. Alleine bei der nach der Equity-Methode bewerteten Beteiligung an der Thüga Holding GmbH & Co. KGaA wurden die Werte des IFRS-Konzernabschlusses mittels einer Überleitungsrechnung an den HGB-Abschluss des N-ERGIE Konzerns angepasst. Das Geschäftsjahr der konsolidierten Unternehmen ist das Kalenderjahr.;;2016;N-ERGIE AG;Konzernabschluss;PwC
Die Kapitalkonsolidierung der in den Konzernabschluss einbezogenen Tochterunternehmen erfolgte bis einschließlich 2009 nach der Buchwertmethode. Ab dem Geschäftsjahr 2010 erfolgt die Erstkonsolidierung von Tochterunternehmen nach der Neubewertungsmethode. Bei dieser Methode werden die Beteiligungsbuchwerte mit dem zum Zeitpunkt ihres Erwerbs bzw. ihrer Erstkonsolidierung bilanzierten anteiligen Eigenkapital zu Zeitwerten aufgerechnet.;;2016;N-ERGIE AG;Konzernabschluss;PwC
