; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
D. Anhang;;;;;
1. Entwicklung des Anlagevermögens;;2015/2016;Oberstdorfer Bergbahn AG;Jahresabschluss;Dipl.-Kfm. Ernst Schafheitle
"Anschaffungs- und Herstellungskosten
Anfangsstand Zugänge Abgänge Umbuchungen Endstand
Euro Euro Euro Euro Euro
A. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene Konzessionen, gewerbl.
Schutzrechte und ähnl. Rechte u. Werte
sowie Lizenzen an solchen Rechten u.
Werten
40.563,78 0,00 455,05 0,00 40.108,73
2. Geschäfts- oder Firmenwert 185.000,00 0,00 0,00 0,00 185.000,00
225.563,78 0,00 455,05 0,00 225.108,73
B. Sachanlagen";;2015/2016;Oberstdorfer Bergbahn AG;Jahresabschluss;Dipl.-Kfm. Ernst Schafheitle
"Anschaffungs- und Herstellungskosten
Anfangsstand Zugänge Abgänge Umbuchungen Endstand
Euro Euro Euro Euro Euro
1. Grundstücke, grundstücksgleiche Rechte
und Bauten einschließlich der Bauten auf
fremden Grundstücken
7.532.846,40 0,00 34.438,18 603.631,70 8.102.039,92
2. Bahn- und Liftanlagen 8.889.251,12 164.915,55 73.698,92 318.779,95 9.299.247,70
3. Andere Anlagen, Betriebs- und Geschäftsausstattung
2.066.461,02 156.760,96 358.472,02 95.366,17 1.960.116,13
4. Geleistete Anzahlungen und Anlagen im
Bau
61.829,82 1.070.065,11 0,00 -1.017.777,82 114.117,11
18.550.388,36 1.391.741,62 466.609,12 0,00 19.475.520,86
C. Finanzanlagen
1. Ausleihungen an verbundene Unternehmen 12.809,22 0,00 12.809,22 0,00 0,00
2. Sonstige Ausleihungen 5.000,00 0,00 0,00 0,00 5.000,00
17.809,22 0,00 12.809,22 0,00 5.000,00
Summe Anlagevermögen 18.793.761,36 1.391.741,62 479.873,39 0,00 19.705.629,59";;2015/2016;Oberstdorfer Bergbahn AG;Jahresabschluss;Dipl.-Kfm. Ernst Schafheitle
"Abschreibungen
Anfangsstand
Abschreibungen im Wirtschaftsjahr
angesammelte Abschreibungen
auf die Abgänge Endstand
Euro Euro Euro Euro
A. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene Konzessionen, gewerbl. Schutzrechte und ähnl.
Rechte u. Werte sowie Lizenzen an solchen Rechten u. Werten
27.133,78 234,00 454,05 26.913,73
2. Geschäfts- oder Firmenwert 81.233,00 12.340,00 0,00 93.573,00
108.366,78 12.574,00 454,05 120.486,73
B. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der
Bauten auf fremden Grundstücken
4.631.545,26 107.736,70 29.511,18 4.709.770,48
2. Bahn- und Liftanlagen 7.753.417,12 184.164.50 61.819,92 7.875.761,70
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 1.751.776,02 103.667,13 357.836,02 1.497.607,13
4. Geleistete Anzahlungen und Anlagen im Bau 0,00 0,00 0,00 0,00";;2015/2016;Oberstdorfer Bergbahn AG;Jahresabschluss;Dipl.-Kfm. Ernst Schafheitle
"Abschreibungen
Anfangsstand
Abschreibungen im Wirtschaftsjahr
angesammelte Abschreibungen
auf die Abgänge Endstand
Euro Euro Euro Euro
14.136.738,40 395.568,33 449.167,12 14.083.139,61
C. Finanzanlagen
1. Ausleihungen an verbundene Unternehmen 0,00 0,00 0,00 0,00
2. Sonstige Ausleihungen 0,00 0,00 0,00 0,00
0,00 0,00 0,00 0,00
Summe Anlagevermögen 14.245.105,18 408.142,33 449.621,17 14.203.626,34";;2015/2016;Oberstdorfer Bergbahn AG;Jahresabschluss;Dipl.-Kfm. Ernst Schafheitle
"Restbuchwerte
30.11.2016 30.11.2015
Euro Euro
A. Immaterielle Vermögensgegenstände
1. Entgeltlich erworbene Konzessionen, gewerbl. Schutzrechte und ähnl. Rechte u. Werte sowie Lizenzen an solchen Rechten u.
Werten
13.195,00 13.430,00
2. Geschäfts- oder Firmenwert 91.427,00 103.767,00
104.622,00 117.197,00
B. Sachanlagen
1. Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken 3.392.269,14 2.901.301,14
2. Bahn- und Liftanlagen 1.423.486,00 1.135.834,00
3. Andere Anlagen, Betriebs- und Geschäftsausstattung 462.509,00 314.685,00
4. Geleistete Anzahlungen und Anlagen im Bau 114.117,11 61.829,82
5.392.381,25 4.413.649,96
C. Finanzanlagen
1. Ausleihungen an verbundene Unternehmen 0,00 12.809,22
2. Sonstige Ausleihungen 5.000,00 5.000,00
5.000,00 17.809,22
Summe Anlagevermögen 5.502.003,25 4.548.656,18";;2015/2016;Oberstdorfer Bergbahn AG;Jahresabschluss;Dipl.-Kfm. Ernst Schafheitle
2. Form der Rechnungslegung;;2015/2016;Oberstdorfer Bergbahn AG;Jahresabschluss;Dipl.-Kfm. Ernst Schafheitle
Der Jahresabschluss der Kur- und Verkehrsbetriebe AG Oberstdorf für das Geschäftsjahr 2015/16 wurde entsprechend Artikel 94 Abs. 1 der Bayerischen Gemeindeordnung und nach den Vorschriften des HGB aufgestellt. Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren aufgestellt.; 7.0 ;2015/2016;Oberstdorfer Bergbahn AG;Jahresabschluss;Dipl.-Kfm. Ernst Schafheitle
"Die „davon""-Vermerke zu den Restlaufzeiten der Verbindlichkeiten werden in Form eines Verbindlichkeitenspiegels im Anhang dargestellt. Die auf tausend Euro gerundeten Vorjahreszahlen wurden zum Vergleich sowohl in der Bilanz als auch in der Gewinn- und Verlustrechnung den Werten aus 2014/15 gegenübergestellt. Die Wertansätze der Bilanz zum 30.11.2015 und der Gewinn- und Verlustrechnung vom 01.12.2014 bis 30.11.2015 wurden unverändert übernommen."; 7.0 ;2015/2016;Oberstdorfer Bergbahn AG;Jahresabschluss;Dipl.-Kfm. Ernst Schafheitle
