; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;;;;
Konzernanhang für das Geschäftsjahr 2015/2016;;2015/2016;Pampus Industriebeteiligungen GmbH & Co. Kommanditgesellschaft;Konzernabschluss;KPMG
Pampus Industriebeteiligungen GmbH & Co. Kommanditgesellschaft, Iserlohn;;2015/2016;Pampus Industriebeteiligungen GmbH & Co. Kommanditgesellschaft;Konzernabschluss;KPMG
Allgemeine Angaben;;2015/2016;Pampus Industriebeteiligungen GmbH & Co. Kommanditgesellschaft;Konzernabschluss;KPMG
Der Konzernabschluss zum 30. September 2016 ist nach den Rechnungslegungsvorschriften des Handelsgesetzbuches aufgestellt.; 9.0 ;2015/2016;Pampus Industriebeteiligungen GmbH & Co. Kommanditgesellschaft;Konzernabschluss;KPMG
Konsolidierungskreis/Anteilsbesitz;;2015/2016;Pampus Industriebeteiligungen GmbH & Co. Kommanditgesellschaft;Konzernabschluss;KPMG
In den Konzernabschluss werden folgende Unternehmen im Wege der Vollkonsolidierung i.S.d. HGB einbezogen:; 68 ;2015/2016;Pampus Industriebeteiligungen GmbH & Co. Kommanditgesellschaft;Konzernabschluss;KPMG
"Sitz Höhe des Anteils v. H.
a) Westfälische Drahtindustrie
Verwaltungsgesellschaft mbH & Co. KG Hamm 66 2/3
diese vermittelt wiederum Beteiligungen an den folgenden Gesellschaften
aa) Westfälische Drahtindustrie GmbH Hamm 98,00 *
ab) NEDRI Draht Beteiligungsgesellschaft m.b.H. Hamm 100,00 **
ac) NEDRI Industriedraht GmbH Hamm 100,00 ***
ad) Nedri Spanstaal B.V. Venlo/NL 100,00 **
ae) Nedri Vastgoed B. V. Venlo/NL 100,00 *****
af) Wilhelm Klören & Co. GmbH Hönningen 100,00 **
ag) Unirope Ltd. Kanada Mississauga 100,00 **
ah) Blitz D12-eins-null-zwei GmbH Düsseldorf 100.00 **
ai) WWH Westfälischer Walzdrahthandel GmbH Dortmund 94.00****
b) WDI-Beteiligungsgesellschaft mbH Hamm 66 2/3
* Anteil der Westfälische Drahtindustrie Verwaltungsgesellschaft mbH & Co. KG
** Anteile der Westfalische Drahtindustrie GmbH
*** Anteile der NEDRI Draht Beteiligungsgesellschaft m.b.H.
**** Anteile der Blitz 012-eins-null-zwei GmbH
***** Anteile der Nedri Spanstaal B. V."; 68 ;2015/2016;Pampus Industriebeteiligungen GmbH & Co. Kommanditgesellschaft;Konzernabschluss;KPMG
Konsolidierungsmethoden;;2015/2016;Pampus Industriebeteiligungen GmbH & Co. Kommanditgesellschaft;Konzernabschluss;KPMG
Die Konsolidierung der Gesellschaften der Pampus-Gruppe erfolgt auf der Grundlage der Jahresabschlüsse der einzelnen Gesellschaften.;;2015/2016;Pampus Industriebeteiligungen GmbH & Co. Kommanditgesellschaft;Konzernabschluss;KPMG
Bei einigen in den Konzernabschluss einbezogenen Unternehmen entspricht das Geschäftsjahr dem Kalenderjahr. Für diese Gesellschaften wurden Zwischenabschlüsse zum 30. September 2016 erstellt.;;2015/2016;Pampus Industriebeteiligungen GmbH & Co. Kommanditgesellschaft;Konzernabschluss;KPMG
