; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang;;;;;
I. Allgemeine Hinweise;;2016;Philips GmbH;Jahresabschluss;EY
Registerinformationen;;2016;Philips GmbH;Jahresabschluss;EY
Die Gesellschaft ist unter der Firma Philips GmbH mit Sitz in Hamburg im Handelsregister des Amtsgerichts in Hamburg unter der Nummer HRB 74560 eingetragen.; 90 ;2016;Philips GmbH;Jahresabschluss;EY
Allgemeine Angaben zum Jahresabschluss;;2016;Philips GmbH;Jahresabschluss;EY
Die Gesellschaft ist eine große Kapitalgesellschaft im Sinne des § 267 Abs. 3 HGB.; 8.0 ;2016;Philips GmbH;Jahresabschluss;EY
Der Jahresabschluss der Philips GmbH, Hamburg, ist unter Beachtung der allgemeinen Vorschriften der §§ 242-256a HBG sowie der ergänzenden Vorschriften für Kapitalgesellschaften gemäß §§ 264 ff. HGB und den einschlägigen Vorschriften des GmbH-Gesetzes in Euro aufgestellt.; 8.0 ;2016;Philips GmbH;Jahresabschluss;EY
Die Gliederung der Bilanz erfolgt im Rahmen der Vorschriften gemäß § 266 Abs. 2 und 3 HGB. Für die Gliederung der Gewinn- und Verlustrechnung wurde das Umsatzkostenverfahren gemäß § 275 Abs. 3 HGB gewählt. Die gesetzlichen Gliederungsvorschriften wurden beachtet.; 8.0 ;2016;Philips GmbH;Jahresabschluss;EY
In 2016 wurden die nachfolgend erläuterten organisatorischen und gesellschaftsrechtlichen Veränderungen innerhalb der deutschen Philips Unternehmen vorgenommen:;;2016;Philips GmbH;Jahresabschluss;EY
–Im Rahmen der im September 2014 angekündigten und 2015 vorangetriebenen veränderten strategischen Ausrichtung durch Einführung zweier marktstarker Unternehmen in den Bereichen HealthTech und Lighting Solutions, wurden zum 01.02.2016 wesentliche Veränderungen vorgenommen:;;2016;Philips GmbH;Jahresabschluss;EY
"–Mit Vertrag vom 11.01.2016 und mit dinglicher Wirkung zum 01.02.2016 übertrug die Philips GmbH im Wege der Ausgliederung einen Teil ihrer Pensionsverpflichtungen sowie Gegenstände des
Aktivvermögens als Gesamtheit auf die Philips Pensions GmbH.";;2016;Philips GmbH;Jahresabschluss;EY
–Ebenfalls mit Vertrag vom 11.01.2016 und mit dinglicher Wirkung zum 01.02.2016 übertrug die Philips GmbH die Anteile an der Philips Pensions GmbH an die Philips Lighting GmbH. Die Firmierung wurde von Philips Pensions GmbH in Philips Lighting Pensions GmbH geändert.;;2016;Philips GmbH;Jahresabschluss;EY
"–Mit Vertrag vom 27.01.2016 und mit dinglicher Wirkung zum 01.02.2016 wurde der Betrieb der Philips GmbH „Lighting Solutions"" auf die Philips Lighting GmbH übertragen.";;2016;Philips GmbH;Jahresabschluss;EY
–Mit Vertrag vom 29.11.2016 und mit sofortiger dinglicher Wirkung erwarb die Philips GmbH von der Philips Saeco S.p.A., Bologna / Italien, die Saeco GmbH. Die erworbene Gesellschaft wurde ebenfalls mit Vertrag vom 29.11.2016 auf die Philips GmbH verschmolzen.;;2016;Philips GmbH;Jahresabschluss;EY
Die Vergleichbarkeit mit dem Vorjahr ist aufgrund des Verkaufs des Geschäftsbereiches Lighting Solutions nur bedingt gegeben. Ohne Lighting Solutions stellen sich die Bilanzwerte zum 31.12.2015 wie folgt dar:; 2 ;2016;Philips GmbH;Jahresabschluss;EY
"31.12.2015
davon Lighting Solutions
31.12.2015
Vergleichbare Basis
31.12.2015
Tsd. € Tsd. € Tsd. €
Aktiva
Immaterielle Vermögensgegenstände 65.541 0 65.541
Sachanlagen 50.005 13.976 36.029
Finanzanlagen 1.420.263 941 1.419.322
Vorräte 47.186 6.357 40.829
Forderungen aus Lieferungen und Leistungen 272.822 81.456 191.366
Forderungen gegen verbundene Unternehmen 381.421 206.156 175.265
Forderungen gegen verbundene Unternehmen, mit denen ein Beteiligungsverhältnis besteht 118 118 0
Sonstige Vermögensgegenstände 28.718 4.946 23.772
Kassenbestand, Guthaben bei Kreditinstituten und Schecks 16.459 1.374 15.085
Rechnungsabgrenzungsposten 7.131 0 7.131
Aktive latente Steuern 133.576 0 133.576"; 2 ;2016;Philips GmbH;Jahresabschluss;EY
"31.12.2015
davon Lighting Solutions
31.12.2015
Vergleichbare Basis
31.12.2015
Tsd. € Tsd. € Tsd. €
Aktiver Unterschiedsbetrag aus Vermögensverrechnung 12.996 0 12.996
Passiva
Gezeichnetes Kapital 500.000 0 500.000
Kapitalrücklagen 0 0 0
Gewinnrücklagen 114.500 0 114.500
Verlustvortrag -153.419 0 -153.419
Jahresüberschuss 18.157 0 18.157
Rückstellungen für Pensionen und ähnliche Verpflichtungen 474.957 194.012 280.945
Steuerrückstellungen 37.401 0 37.401
Sonstige Rückstellungen 235.007 91.874 143.133
Erhaltene Anzahlungen auf Bestellungen 6.634 241 6.393
Verbindlichkeiten aus Lieferungen und Leistungen 51.254 13.032 38.222
Verbindlichkeiten gegenüber verbundenen Unternehmen 1.064.671 0 1.064.671
Verbindlichkeiten gegenüber verbundenen Unternehmen, mit denen ein Beteiligungsverhältnis besteht
346 346 0
Sonstige Verbindlichkeiten 74.129 16.511 57.618
Rechnungsabgrenzungsposten 12.599 0 12.599"; 2 ;2016;Philips GmbH;Jahresabschluss;EY
Die Gewinn- und Verlustrechnung für das Geschäftsjahr 2015 stellt sich ohne Lighting Solutions wie folgt dar:; 2 ;2016;Philips GmbH;Jahresabschluss;EY
"davon Lighting Solutions
2015 Vergleichbare Basis 2015
Tsd. € Tsd. € Tsd. €
Umsatzerlöse 1.713.187 555.707 1.157.480
Herstellungskosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen -1.513.716 -471.290 -1.042.426
Bruttoergebnis vom Umsatz 199.471 84.417 115.054
Vertriebskosten -226.607 -92.895 -133.712
Allgemeine Verwaltungskosten -6.473 0 -6.473
Sonstige betriebliche Erträge 24.793 5.088 19.705
Sonstige betriebliche Aufwendungen -12.885 -8156 -4.729"; 2 ;2016;Philips GmbH;Jahresabschluss;EY
"2015
davon Lighting Solutions
2015 Vergleichbare Basis 2015
Tsd. € Tsd. € Tsd. €
Erträge aus Beteiligungen 4.805 0 4.805
Erträge aus Gewinnabführungsverträgen 142.812 0 142.812
Aufwendungen aus Verlustübernahmen -2.076 0 -2.076
Erträge aus anderen Wertpapieren und Ausleihungen des Finanzanlagevermögens 132 61 71
Sonstige Zinsen und ähnliche Erträge 152 31 121
Zinsen und ähnliche Aufwendungen -84.669 -1.458 -83.211
Steuern vom Einkommen und vom Ertrag -21.298 0 -21.298
davon aus latenten Steuern 6.934 0 6.934
Jahresüberschuss/-fehlbetrag 18.157 -12.912 31.069"; 2 ;2016;Philips GmbH;Jahresabschluss;EY
II. Angaben zu Bilanzierungs- und Bewertungsmethoden;;2016;Philips GmbH;Jahresabschluss;EY
Bilanzierungs- und Bewertungsgrundsätze;;2016;Philips GmbH;Jahresabschluss;EY
Erworbene immaterielle Vermögensgegenstände des Anlagevermögens sind zu Anschaffungs- bzw. Herstellungskosten bilanziert und werden, sofern sie der Abnutzung unterliegen, entsprechend ihrer Nutzungsdauer um lineare planmäßige Abschreibungen vermindert.; 8.4 ;2016;Philips GmbH;Jahresabschluss;EY
"Das Sachanlagevermögen ist zu Anschaffungs- bzw. Herstellungskosten bilanziert und wird, soweit abnutzbar, entsprechend der Nutzungsdauer um planmäßige Abschreibungen vermindert. Die Gegenstände des Sachanlagevermögens mit Anschaffungsdatum vor dem 1. Januar 2011 werden degressiv abgeschrieben. Dabei wird auf die lineare Abschreibungsmethode übergegangen, sobald diese zu höheren Abschreibungen
führt. Ab dem 1. Januar 2011 angeschaffte Vermögensgegenstände werden linear abgeschrieben."; 8.7 ;2016;Philips GmbH;Jahresabschluss;EY
