; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang für das Geschäftsjahr 2015/2016;;;;;
Allgemeine Angaben zum Jahresabschluss;;;;;
Der Jahresabschluss wurde auf der Grundlage der Gliederungs-, Bilanzierungs- und Bewertungsvorschriften des Handelsgesetzbuches aufgestellt. Ergänzend zu diesen Vorschriften wurden die Regelungen des Aktiengesetzes angewandt.; 8.0 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Die Gesellschaft ist eine große Kapitalgesellschaft im Sinne von § 267 HGB. Der Jahresabschluss wurde entsprechend den Gliederungsvorschriften der §§ 266 ff. HGB unter Anwendung des Gesamtkostenverfahrens für die Gewinn- und Verlustrechnung aufgestellt.; 8.0 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
"Aus rechentechnischen Gründen können in Tabellen und bei Verweisen Rundungsdifferenzen zu den sich mathematisch exakt ergebenden Werten (Geldeinheiten, Prozentangaben usw.) auftreten.
"; 8.0 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Bilanzierungs- und Bewertungsgrundsätze;;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Der vorliegende Jahresabschluss ist unter Beibehaltung der für den Vorjahresabschluss angewendeten Gliederungs- und Bewertungsgrundsätze nach den für große Kapitalgesellschaften geltenden Vorschriften des Handelsgesetzbuches und den ergänzenden Vorschriften des Aktiengesetzes aufgestellt.; 8.0 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Im Jahresabschluss sind sämtliche Vermögensgegenstände, Schulden, Rechnungsabgrenzungsposten, Aufwendungen und Erträge enthalten, soweit gesetzlich nichts anderes bestimmt ist. Die Posten der Aktivseite sind nicht mit Posten der Passivseite, Aufwendungen nicht mit Erträgen verrechnet worden, soweit dies nach den Vorschriften des § 246 HGB nicht ausdrücklich gefordert wird.; 8.0 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Die Wertansätze der Eröffnungsbilanz des Geschäftsjahres stimmen mit denen der Schlussbilanz des vorangegangenen Geschäftsjahres überein. Bei der Bewertung wurde von der Fortführung des Unternehmens ausgegangen. Die Vermögensgegenstände und Schulden wurden einzeln bewertet.; 8.0 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Es ist vorsichtig bewertet worden, namentlich sind alle vorhersehbaren Risiken und Verluste, die bis zum Abschlussstichtag entstanden sind, berücksichtigt worden, selbst wenn diese erst zwischen Abschlussstichtag und der Aufstellung des Jahresabschlusses bekannt geworden sind. Gewinne sind nur berücksichtigt worden, wenn sie bis zum Abschlussstichtag realisiert wurden. Aufwendungen und Erträge des Geschäftsjahres sind unabhängig vom Zeitpunkt der Zahlung berücksichtigt worden.; 8.0 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Anlagevermögen; 8.1 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Erworbene immaterielle Vermögensgegenstände werden zu Anschaffungskosten, vermindert um planmäßige Abschreibungen, bewertet. Für Software werden als Nutzungsdauer regelmäßig drei Jahre zugrunde gelegt. Erworbene Markenrechte, Kundenstämme und Einleitungs- und Belieferungsrechte werden über einen Zeitraum von 10 bis 15 Jahren abgeschrieben.; 8.4 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
"Das Sachanlagevermögen wird zu Anschaffungs- bzw. Herstellungskosten, vermindert um planmäßige nutzungsbedingte Abschreibungen, angesetzt. In die Herstellungskosten der selbsterstellten Anlagen werden neben den direkt zurechenbaren Kosten auch anteilige Gemeinkosten und Abschreibungen einbezogen. Die Abschreibungen werden bei Gebäuden linear über eine Nutzungsdauer von maximal 25 Jahren, beim beweglichen Anlagevermögen ausschließlich linear vorgenommen; die Nutzungsdauer beträgt bei den Tankanlageneinrichtungen 3 bis 16 Jahre, bei anderen Anlagen, Betriebs- und Geschäftsausstattung 3 bis
6 Jahre."; 8.7 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Selbstständig nutzbare bewegliche Gegenstände des Anlagevermögens, die der Abnutzung unterliegen, werden bei Anschaffungs- oder Herstellungskosten bis 150,00 EUR im Zugangsjahr voll abgeschrieben. Für Zugänge, deren Anschaffungs- oder Herstellungskosten mehr als 150,00 EUR, jedoch nicht mehr als 1.000,00 EUR betragen, wird ein Sammelposten (Abschreibungspool) gebildet, der linear über eine Abschreibungsdauer von fünf Jahren aufgelöst wird. ; 8.7 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Finanzanlagen werden zu Anschaffungskosten bewertet. Unverzinsliche oder unterhalb der marktüblichen Verzinsung liegende Ausleihungen sind auf den Barwert abgezinst. Beim Tausch von Gegenständen des Sachanlagevermögens gegen erworbene Anteile an verbundenen Unternehmen wurden die gemeinen Werte der hingegebenen Vermögensgegenstände als Anschaffungskosten angesetzt.; 8.12 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Unter den Ausleihungen an Kreditinstitute werden Festgelder i.H.v. 717 TEUR ausgewiesen, die zur Besicherung von Lieferantenkrediten verpfändet sind. Zur Erhöhung der Aussagekraft der Bilanz wurden diese Festgelder gemäß § 265 Abs. 5 S. 2 HGB in einem gesonderten Posten ausgewiesen.; 8.12 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Auf die Gegenstände des Anlagevermögens werden außerplanmäßige Abschreibungen vorgenommen, wenn voraussichtlich dauerhafte Wertminderungen vorliegen. Zuschreibungen aufgrund des Wertaufholungsgebots erfolgen bis zu den fortgeführten Anschaffungskosten, wenn die Gründe für eine dauerhafte Wertminderung nicht mehr bestehen.; 8.1 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Umlaufvermögen; 8.19 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Die Vorräte werden zu Anschaffungs- bzw. Herstellungskosten bei Anwendung zulässiger Bewertungsvereinfachungsverfahren (last-in-first-out) oder zu niedrigeren beizulegenden Werten angesetzt.; 8 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Forderungen und sonstige Vermögensgegenstände werden zum Nennbetrag beziehungsweise zu Anschaffungskosten oder niedrigeren Tageswerten angesetzt. Abschreibungen auf Forderungen werden entsprechend der Wahrscheinlichkeit des Ausfalls gebildet. Dem allgemeinen Kreditrisiko wird durch eine Pauschalwertberichtigung zu Forderungen ausreichend Rechnung getragen.; 8.25 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Flüssige Mittel sind mit dem Nennwert bilanziert.; 8.33 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Latente Steuern; 8.35, 27 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
"Auf temporäre Differenzen zwischen den handelsrechtlichen und steuerlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten sowie unter Einbeziehung von berücksichtigungsfähigen Verlust- und Zinsvorträgen wird ein Überhang an passiven latenten Steuern angesetzt, wenn insgesamt von einer Steuerbelastung in künftigen Geschäftsjahren auszugehen ist. Sofern insgesamt eine künftige Steuerentlastung erwartet wird, erfolgt der Ansatz von aktiven latenten Steuern. Soweit die aktiven latenten Steuern den vorhandenen passiven latenten Steuern entsprechen, werden diese insoweit
verrechnet dargestellt. Verlust- und Zinsvorträge sowie Steuergutschriften werden insoweit berücksichtigt, als eine Verrechnung mit steuerpflichtigem Einkommen innerhalb der nächsten fünf Jahre realisierbar ist. Die Bewertung von latenten Steuern erfolgt auf der Grundlage des geltenden Körperschaftsteuersatzes sowie den gewerbesteuerlichen Hebesätzen. Unter Berücksichtigung von Körperschaftsteuer, Solidaritätszuschlag sowie Gewerbeertragsteuer ergab sich im abgelaufenen Geschäftsjahr ein Steuersatz von 30,0 %"; 8.35, 27 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Rückstellungen; 8.47 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Die Steuerrückstellungen beinhalten die tatsächlichen Verpflichtungen.; 8.49 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Die übrigen Rückstellungen berücksichtigen alle erkennbaren Risiken und ungewissen Verpflichtungen unter Berücksichtigung erwarteter künftiger Preis- und Kostensteigerungen. Für unterlassene Instandhaltungsaufwendungen werden Rückstellungen gebildet, wenn sie in den ersten 3 Monaten des folgenden Geschäftsjahres nachgeholt werden. Wesentliche Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr werden abgezinst.; 8.50 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Verbindlichkeiten; 8.51 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Verbindlichkeiten werden mit ihrem Erfüllungsbetrag am Bilanzstichtag angesetzt.; 8.51 ;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Währungsumrechnung;;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
Auf fremde Währung lautende Finanzanlagen, Forderungen, Wertpapiere, flüssige Mittel, Rückstellungen und Verbindlichkeiten sowie Haftungsverhältnisse werden grundsätzlich zum Devisenkassamittelkurs am Bilanzstichtag bewertet.;;2015/2016;Q1 Energie AG;Jahresabschluss;Treuhand Weser-Ems
