Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
I. Allgemeine Angaben;;;;;
II. Bilanzierungs- und Bewertungsmethoden;;;;;
III. Erläuterungen zur Bilanz und zur Gewinn- und Verlustrechnung;;;;;
A. Erläuterungen zur Bilanz;;;;;
B. Erläuterungen zur Gewinn- und Verlustrechnung;;;;;
C. Haftungsverhältnisse;;;;;
IV. Sonstige Angaben;;;;;
V. Nachtragsbericht;;;;;
I. Allgemeine Angaben;;;;;
"Die REHAU AG+Co, Rheniumhaus, 95111 Rehau, mit Sitz in Rehau und geführt beim Amtsgericht Hof unter der Handelsregisternummer HRA 2232 ist eine große Personenhandelsgesellschaft im Sinne des
§ 267 HGB. Der Jahresabschluss wird gemäß § 264a Abs. 1 HGB nach den Rechungslegungsvorschriften für Kapitalgesellschaften des Handelsgesetzbuches (HGB) - in der Fassung des Bilanzrichtlinie-Umsetzungsgesetzes
(BilRUG) - aufgestellt. Die Gewinn -und Verlustrechnung ist nach dem Gesamtkostenverfahren gem. § 275 Abs. 2 HGB aufgestellt. Geschäftsjahr ist das Kalenderjahr."; 113 ;2016;Rehau AG+Co;Jahresabschluss;PwC
II. Bilanzierungs- und Bewertungsmethoden;;2016;Rehau AG+Co;Jahresabschluss;PwC
"Das Wahlrecht zur Aktivierung selbst geschaffener immaterieller Vermögensgegenstände des Anlagevermögens wird wahrgenommen. Die Entwicklungskosten werden aktiviert (§ 248 Abs. 2 HGB), die in
der Forschungsphase anfallenden Kosten sind von der Aktivierung ausgeschlossen (§ 255 Abs. 2 Satz 4 HGB)."; 8.3 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Im Geschäftsjahr sind TEUR 46.960 an Forschungs- und Entwicklungskosten angefallen. Davon entfielen auf die selbst geschaffenen immateriellen Vermögensgegenstände des Anlagevermögens aus abgeschlossenen
Entwicklungen TEUR 590 und aus laufenden Entwicklungen TEUR 3.000. Die aktivierten Entwicklungskosten werden über die voraussichtliche Projektlaufzeit bzw. über eine voraussichtliche Nutzungsdauer
von 5 Jahren abgeschrieben."; 8.3, 13 ;2016;Rehau AG+Co;Jahresabschluss;PwC
"Von Dritten entgeltlich erworbene immaterielle Vermögensgegenstände des Anlagevermögens werden zu Anschaffungskosten abzüglich ggfs. erhaltener Investitionszuschüsse aktiviert und ihrer voraussichtlichen
Nutzungsdauer entsprechend linear, im Zugangsjahr zeitanteilig, abgeschrieben. Dabei werden entgeltlich erworbene EDV-Programme über eine betriebsgewöhnliche Nutzungsdauer von 3 Jahren abgeschrieben,
entgeltlich erworbene Lizenzen über eine betriebsgewöhnliche Nutzungsdauer von 3 bis 5 Jahren. Zugänge mit einem Anschaffungswert bis zu 150 EUR werden als laufender Aufwand erfasst und
Zugänge mit einem Wert größer 150 EUR und höchstens 410 EUR als geringwertige Anlagegüter sofort abgeschrieben. Vermögensgegenstände mit höheren Anschaffungswerten werden einzeln inventarisiert."; 8.4 ;2016;Rehau AG+Co;Jahresabschluss;PwC
