; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang für das Geschäftsjahr 2016;;2016;Rheinland Kraftstoff Gesellschaft mit beschränkter Haftung;Jahresabschluss;EY
1. Allgemeine Angaben zum Jahresabschluss;;2016;Rheinland Kraftstoff Gesellschaft mit beschränkter Haftung;Jahresabschluss;EY
Der Jahresabschluss zum 31. Dezember 2016 wurde gemäß § 242 ff. und 264 ff. HGB und den einschlägigen Vorschriften des GmbH-Gesetzes aufgestellt. Die folgenden Erläuterungen umfassen die Angaben, die von großen Kapitalgesellschaften in den neben Bilanz und Gewinn- und Verlustrechnung aufzustellenden Anhang aufzunehmen sind.;;2016;Rheinland Kraftstoff Gesellschaft mit beschränkter Haftung;Jahresabschluss;EY
Registerinformationen; 90 ;2016;Rheinland Kraftstoff Gesellschaft mit beschränkter Haftung;Jahresabschluss;EY
Die Gesellschaft ist unter der Firma Rheinland Kraftstoff GmbH mit Sitz in Gelsenkirchen im Handelsregister des Amtsgerichts Gelsenkirchen unter der Nummer HRB 3577 eingetragen.; 90 ;2016;Rheinland Kraftstoff Gesellschaft mit beschränkter Haftung;Jahresabschluss;EY
2. Angaben zu Bilanzierungs- und Bewertungsgrundsätze;;2016;Rheinland Kraftstoff Gesellschaft mit beschränkter Haftung;Jahresabschluss;EY
Für die Aufstellung des Jahresabschlusses waren unverändert die nachfolgenden Bilan-zierungs- und Bewertungsmethoden maßgebend.;;2016;Rheinland Kraftstoff Gesellschaft mit beschränkter Haftung;Jahresabschluss;EY
Die immateriellen Vermögensgegenstände und die Sachanlagen sind zu Anschaf-fungs- bzw. Herstellungskosten bewertet worden. Zinsen auf Fremdkapital werden nicht in die Anschaffungs- und Herstellungskosten einbezogen. Die Abschreibungen für das abnutzbare Anlagevermögen erfolgen planmäßig entweder linear oder degressiv mit späterem Übergang auf die lineare Methode. Zugänge des Jahres 2016 wurden ausschließlich linear nach der betriebsgewöhnlichen Nutzungsdauer abgeschrieben. Soweit notwendig, werden außerplanmäßige Abschreibungen vorgenommen.; 8.2, 8.7 ;2016;Rheinland Kraftstoff Gesellschaft mit beschränkter Haftung;Jahresabschluss;EY
Es werden folgende unveränderte, einheitliche Nutzungsdauern zugrunde gelegt:; 8.2, 8.7 ;2016;Rheinland Kraftstoff Gesellschaft mit beschränkter Haftung;Jahresabschluss;EY
Nutzungsdauer (in Jahren); 8.2, 8.7 ;2016;Rheinland Kraftstoff Gesellschaft mit beschränkter Haftung;Jahresabschluss;EY
"Immaterielle Vermögensgegenstände
Belieferungsrechte 4 bis 15
Software 1 bis 8
Sachanlagen
Grundstückseinrichtungen 10 bis 25
Technische Einrichtungen 3 bis 16
Betriebs- und Geschäftsausstattung 3 bis 6
Werbeeinrichtungen 3"; 8.2, 8.7 ;2016;Rheinland Kraftstoff Gesellschaft mit beschränkter Haftung;Jahresabschluss;EY
Mit Inkrafttreten des BilMoG ist die umgekehrte Maßgeblichkeit der Steuerbilanz für die Handelsbilanz entfallen, wir haben uns jedoch entschieden, von dem in der Übergangsregelung nach Art. 67 Abs. 4 EGHGB vorgesehenen Wahlrecht zur Fortführung der bisherigen Wertansätze unter Anwendung der für sie bis zum Inkrafttreten des BilMoG geltenden Vorschriften Gebrauch zu machen.; 8.2, 8.7 ;2016;Rheinland Kraftstoff Gesellschaft mit beschränkter Haftung;Jahresabschluss;EY
