Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang für das Geschäftsjahr 2015/16;;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
I. Allgemeine Angaben zu Bilanzierungs- und Bewertungsmethoden;;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
"Die Gliederung des Jahresabschlusses der Saturn Electro-Handelsgesellschaft mbH München, München, erfolgt unter Anwendung der
§§ 265 ff. HGB. Für die Gewinn- und Verlustrechnung wird dabei das Gesamtkostenverfahren zugrunde gelegt."; 8.0 ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
Die Bewertung entspricht den für Kapitalgesellschaften geltenden Vorschriften des HGB.; 8.0 ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
II. Angaben zu einzelnen Bilanzposten;;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
"Die immateriellen Vermögensgegenstände des Anlagevermögens werden zu Anschaffungskosten einschließlich Nebenkosten,
vermindert um Abschreibungen, angesetzt. Die Abschreibungen erfolgen nach der linearen Abschreibungsmethode unter
Zugrundelegung der betriebsgewöhnlichen Nutzungsdauer."; 4.2, 8.2 ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
"Für den zum 29. Februar 2004 entgeltlich erworbenen Geschäfts- oder Firmenwert wurde im Zeitpunkt der erstmaligen Erfassung
eine voraussichtliche Nutzungsdauer von 15 Jahren in Anlehnung an die steuerrechtlichen Vorschriften des § 7 Abs. 1 S. 3 EStG
zugrunde gelegt. Die voraussichtliche Nutzungsdauer von 15 Jahren liegt im Rahmen einer vertretbaren Nutzungsdauerschätzung,
der keine besonderen Umstände entgegenstehen."; 4.5, 8.5, 14 ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
"Die Vermögensgegenstände des Sachanlagevermögens werden zu Anschaffungskosten einschließlich Nebenkosten, vermindert um
Abschreibungen, angesetzt. Sämtliche Vermögensgegenstände werden stets nach der linearen Abschreibungsmethode unter
Zugrundelegung der betriebsgewöhnlichen Nutzungsdauer abgeschrieben. Für Zugänge bei beweglichen Vermögensgegenständen
des Sachanlagevermögens wird die anteilige Jahresabschreibung (pro rata temporis) verrechnet. Geringwertige Anlagegüter mit
einem Einzelwert bis einschließlich EUR 150,00 werden im Zeitpunkt ihrer Anschaffung unmittelbar als Aufwand erfasst.
Geringwertige Anlagegüter mit einem Einzelwert zwischen EUR 150,00 und EUR 1.000,00 werden im Zeitpunkt des Zugangs in einem
Sammelposten aktiviert. Der Sammelposten wird im Jahr der Bildung und in den folgenden vier Jahren mit jeweils 20 %
abgeschrieben."; 4.7, 8.7 ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
Die Entwicklung des Anlagevermögens wird auf den Seiten 6 und 7 dargestellt.; 4.1, 8.1, 15 ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
"Bei den Vorräten werden Waren zu Anschaffungskosten unter Beachtung des Niederstwertprinzips bewertet. Für Lagerrisiken und
nicht vollwertige Bestände werden warengruppenspezifische Bewertungsabschläge auf die Vorräte vorgenommen."; 4.20, 8.20 ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
"Die Forderungen und sonstigen Vermögensgegenstände sind mit dem Nennwert angesetzt. Auf zweifelhafte Forderungen werden
Einzelwertberichtigungen gebildet. In den sonstigen Vermögensgegenständen sind sonstige Forderungen in Höhe von EUR
808.333,08 (i. Vj. EUR 778.042,15) mit einer Restlaufzeit von mehr als einem Jahr enthalten. Alle übrigen Forderungen haben eine
Restlaufzeit bis zu einem Jahr."; 4.20, 8.20 ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
"Die Forderungen gegen verbundene Unternehmen sind mit dem Nennwert angesetzt. Sie beinhalten Forderungen gegen die
Gesellschafterin Media-Saturn Deutschland GmbH, Ingolstadt, in Höhe von EUR 1.319.652,43 (i. Vj. EUR 6.401.358,92)."; 4.27, 8.27, 20 ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
"In den Forderungen gegen verbundene Unternehmen sind Forderungen aus Lieferungen und Leistungen gegen verbundene
Unternehmen in Höhe von EUR 829.398,43 (i. Vj. EUR 627.502,91) enthalten."; 4.27, 8.27, 6, ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
Die sonstigen Vermögensgegenstände enthalten Bonusforderungen, die erst nach dem Bilanzstichtag fällig werden.; 4.29, 8.29, 21 ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
"Latente Steuern werden für sich in den folgenden Geschäftsjahren voraussichtlich abbauende Unterschiede zwischen den
handelsrechtlichen und steuerlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten
ermittelt und unverrechnet ausgewiesen."; 4.35, 4.64, 8.35, 8.64, 24 ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
"Die aktiven latenten Steuern beruhen auf Differenzen zwischen handelsrechtlichen und steuerlichen Wertansätzen von
Vorratsvermögen, Rückstellungen und Verbindlichkeiten. Die Bewertung der latenten Steuern erfolgt mit einem Steuersatz von 33,0
%. Dieser enthält Körperschaftsteuer (15,0 %), Solidaritätszuschlag auf Körperschaftsteuer (5,5 %) und Gewerbesteuer (17,2 %)."; 4.35, 8.35, 24 ;2015/2016;Saturn Electro-Handelsgesellschaft mbH München;Jahresabschluss;Pütz, Wirtschaftsprüfer Sailer, Wirtschaftsprüferin
