Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Konzernanhang für das Geschäftsjahr 2016;;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
I Angaben zum Jahresabschluss;;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
A Allgemeines;;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Die Schütz-Werke GmbH & Co. KG hat ihren Sitz in Selters/Westerwald und ist eingetragen in das Handelsregister beim Amtsgericht
Montabaur (HR A Reg.Nr. 1292).";83;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Die Schütz-Werke GmbH & Co. KG ist als Mutterunternehmen im Sinne des § 290 Abs. 2 HGB verpflichtet, einen Konzernabschluss
und Konzernlagebericht nach den Vorschriften der §§ 290 bis 315 HGB in der Fassung des Bilanzrichtlinie-Umsetzungsgesetzes
(BilRUG) aufzustellen."; 9.0 ;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
Für die Darstellung der Gewinn- und Verlustrechnung kommt das Gesamtkostenverfahren zur Anwendung (§ 275 Abs. 2 HGB).; 9.0 ;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
Der Konzernabschluss wurde unter Annahme der Unternehmensfortführung (Going-Concern) aufgestellt.; 9.0 ;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Im Interesse einer besseren Klarheit und Übersichtlichkeit werden die nach den gesetzlichen Vor-schriften bei den Posten der Bilanz
und Gewinn- und Verlustrechnung anzubringenden Vermerke ebenso wie die Vermerke, die wahlweise in der Bilanz bzw. Gewinn- und
Verlustrechnung oder im Anhang anzubringen sind, weitestgehend im Anhang aufgeführt. Geschäftsjahr ist das Kalenderjahr."; 9.0 ;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
B Konsolidierungskreis;;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Der Konsolidierungskreis umfasst neben der Schütz-Werke GmbH & Co. KG als Mutterunternehmen 32 Tochter- und
Enkelunternehmen, bei denen der Schütz-Werke GmbH & Co. KG unmittelbar oder mittelbar die Mehrheit der Stimmrechte zusteht
oder bei denen der Schütz-Werke GmbH & Co. KG das Recht zusteht, die Mehrheit der Mitglieder des Leitungsorgans zu bestellen
oder abzuberufen.";68;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Die Tochterunternehmen werden im Wege der Vollkonsolidierung nach § 301 HGB, Gemeinschaftsunternehmen nach § 312 HGB at
Equity in den Konzernabschluss einbezogen.";68;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Angaben zu den Tochter- und Beteiligungsunternehmen sind der gesonderten Aufstellung des Konsolidierungskreises zum 31.
Dezember 2016 (Anlage 1 zum Konzernanhang) zu entnehmen."; 68, 69 ;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
Folgende Veränderungen ergaben sich im Geschäftsjahr 2016 im Konsolidierungskreis.;85;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Gründung der Schütz (Thailand) Ltd., Rayong,
Thailand.";85;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Die Gesellschafter der Schütz GmbH & Co. KGaA haben in der Hauptversammlung vom 29. August 2016 beschlossen, für das
Geschäftsjahr 2016 die Befreiungsvorschrift des § 264 Abs 3 HGB in Anspruch zu nehmen und auf die Aufstellung eines Anhangs zum
Jahresabschluss und eines Lageberichts sowie die Pflichtprüfung und Offenlegung des Jahresabschlusses zu verzichten. Die Schütz
GmbH & Co. KGaA wird als Tochterunternehmen in diesen Konzernabschluss einbezogen.";100;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Die Gesellschafter der Schütz Montlingen GmbH & Co. KG haben in der Gesellschafterversammlung vom 29. August 2016
beschlossen, für das Geschäftsjahr 2016 die Befreiungsvorschrift des § 264b HGB in Anspruch zu nehmen und die ergänzenden
Vorschriften über die Rechnungslegung für Kapitalgesellschaften in Bezug auf die Aufstellung, Prüfung und Offenlegung eines
Jahresabschlusses und eines Lageberichtes nicht anzuwenden. Die Schütz Montlingen GmbH & Co. KG wird als Tochterunternehmen
in diesen Konzernabschluss einbezogen.";101;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Die Gesellschafter der Schütz Industrie KGaA & Co. KG haben in der Gesellschafterversammlung vom 29. August 2016 beschlossen,
für das Geschäftsjahr 2016 die Befreiungsvorschrift des § 264 Abs. 3 HGB in Anspruch zu nehmen und auf die Aufstellung eines
Lageberichts sowie auf die Offenlegung des Jahresabschlusses zu verzichten. Die Schütz Industrie KGaA & Co. KG wird als
Tochterunternehmen in diesen Konzernabschluss einbezogen.";100;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
C Konsolidierungsmethoden;;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Der Konzernabschlussstichtag 31. Dezember 2016 entspricht dem Stichtag des Jahresabschlusses des Mutterunternehmens und
sämtlicher in den Konzernabschluss einbezogener Tochter- und Gemeinschaftsunternehmen.";;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Die Abschlüsse der einbezogenen Gesellschaften werden zum Bilanzstichtag zunächst unter Beachtung der jeweiligen nationalen
Bilanzierungsbestimmungen aufgestellt. Sofern die dort angewandten Bilanzierungs- und Bewertungsmethoden von den
handelsrechtlichen Bilanzierungs- und Bewertungsmethoden abweichen, werden die erforderlichen Anpassungen vorgenommen.";;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Die Kapitalkonsolidierung wird gemäß § 301 HGB nach der Neubewertungsmethode durchgeführt. Aktive Unterschiedsbeträge aus
der Kapitalkonsolidierung werden grundsätzlich als Geschäfts- oder Firmenwerte ausgewiesen und planmäßig über einen Zeitraum
von zehn Jahren linear abgeschrieben. Bei den Geschäfts- oder Firmenwerten früherer Jahre wird der Zeitraum von vier Jahren
beibehalten. Die im Konzernabschluss 2016 ausgewiesenen Geschäfts- oder Firmenwerte (TEUR 262) betreffen im Wesentlichen die
Schütz Allemballage AB, Haninge, Schweden (TEUR 259)."; 14, 92 ;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Entsprechend § 303 HGB werden bei der Schuldenkonsolidierung Anzahlungen, Ausleihungen, Forderungen und Verbindlichkeiten
zwischen den in den Konzernabschluss einbezogenen Unternehmen eliminiert. Im Rahmen der Aufwands- und Ertragskonsolidierung
werden die Umsatzerlöse zwischen den einbezogenen Konzerngesellschaften wie auch die sonstigen Erträge und Aufwendungen
gemäß § 305 HGB verrechnet.";;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Die in den Konzernabschluss übernommenen Vermögensgegenstände, die ganz oder teilweise auf Lieferungen und Leistungen
zwischen einbezogenen Konzerngesellschaften beruhen, werden gemäß § 304 HGB mit ihren Konzernanschaffungs- bzw. -
herstellungskosten angesetzt.";;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Die Bewertung der Gemeinschaftsunternehmen wird nach der at Equity Methode gemäß § 312 HGB durchgeführt. Abweichende
Ansatz- und Bewertungsmethoden im Jahresabschluss der Gemeinschaftsunternehmen werden nicht angeglichen. Die
Währungsumrechnung erfolgt in Übereinstimmung mit § 308a HGB nach der modifizierten Stichtagskursmethode.";98;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
D Währungsumrechnung;;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Die Anschaffungskosten von Vermögensgegenständen in fremder Währung und die Erlöse aus Verkäufen in fremder Währung werden
zu Stichtagskursen im Zeitpunkt der Buchung der Geschäftsvorfälle bestimmt. Forderungen und Verbindlichkeiten mit einer
Restlaufzeit von bis zu einem Jahr in fremder Währung werden mit dem Devisenkassamittelkurs am Abschlussstichtag bewertet.";;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
Die Jahresabschlüsse der ausländischen Gesellschaften werden wie folgt in Euro umgerechnet:;;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"• zum Devisenkassamittelkurs am Bilanzstichtag alle Posten der Bilanz mit Ausnahme des Eigenkapitals, das zum historischen
Kurs umgerechnet wird, und";;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
• zum Jahresdurchschnittskurs alle Posten der Gewinn- und Verlustrechnung.;;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
E Bilanzierungs- und Bewertungsgrundsätze;;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Die entgeltlich erworbenen immateriellen Vermögensgegenstände werden zu Anschaffungskosten aktiviert und ihrer voraussichtlichen
Nutzungsdauer entsprechend linear abgeschrieben. Dabei werden die entgeltlich erworbene immaterielle Vermögensgegenstände
über eine betriebsgewöhnliche Nutzungsdauer von 3 bis 10 Jahren abgeschrieben. Die Bilanzierung des Sachanlagevermögens erfolgt
zu Anschaffungs- oder Herstellungskosten. Die abnutzbaren Vermögensgegenstände werden linear über die betriebsindividuell
geschätzte Nutzungsdauer abgeschrieben, bei voraussichtlich dauerhafter Wertminderung erfolgen zudem außerplanmäßige
Abschreibungen."; 9.4, 9.7 ;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
Die wirtschaftlichen Nutzungsdauern bemessen sich wie folgt:; 9.7 ;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Bauten 4 bis 50 Jahre
Technische Anlagen und Maschinen 2 bis 50 Jahre
Andere Anlagen, Betriebs- und Geschäftsausstattung 1 Jahr bis 25
Jahre"; 9.7 ;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Bei gebraucht gekauften Anlagegütern und bei den Anlagegütern im Mehrschichtbetrieb wird eine entsprechend kürzere
Nutzungsdauer zugrunde gelegt. Die Herstellungskosten der selbst erstellten Anlagen umfassen alle direkt zurechenbaren Materialund
Fertigungskosten sowie angemessene Teile der Material- und Fertigungsgemeinkosten wie der fertigungsbedingten
Abschreibungen. Hinzu kommen anteilige Aufwendungen für freiwillige soziale Leistungen und die betriebliche Altersversorgung.
Fremdkapitalkosten werden nicht als Teil der Anschaffungs- oder Herstellungskosten angesetzt."; 9.7 ;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
"Der Ansatz der Vorräte erfolgt zu Herstellungs- bzw. Anschaffungskosten bzw. unter Beachtung des Niederstwertprinzips zum
beizulegenden Wert am Bilanzstichtag. Die Ermittlung der Anschaffungskosten bei den Roh-, Hilfs- und Betriebsstoffen sowie Waren
erfolgt anhand der sogenannten gewogenen Durchschnittsmethode. Die fertigen und unfertigen Leistungen und Erzeugnisse sind zu
Herstellungskosten bewertet. Die Herstellungskosten enthalten die aktivierungspflichtigen Bestandteile des § 255 Abs. 2 HGB. Hinzu
kommen anteilige Verwaltungskosten und Aufwendungen für freiwillige soziale Leistungen und die betriebliche Altersversorgung.
Zinsen für Fremdkapital werden nicht aktiviert."; 9.20, 10 ;2016;Schütz-Werke GmbH & Co. KG;Konzernabschluss;PwC
