; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;;;;
Anhang für das Geschäftsjahr 2016;;;;;
Vorbemerkungen;;;;;
Die Gesellschaft ist im Handelsregister des Amtsgerichts Hamburg unter Nummer HRB 82190 eingetragen.; 90 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Das Geschäftsjahr ist das Kalenderjahr.; 8.0 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Die Gesellschaft erfüllt im Geschäftsjahr die Größenkriterien einer großen Kapitalgesellschaft nach § 267 Abs. 3 HGB. Die Gesellschaft hat den Jahresabschluss und den Lagebericht für das am 31. Dezember 2016 endende Geschäftsjahr unter Anwendung der Vorschriften der §§ 264 ff. HGB für große Kapitalgesellschaften aufgestellt.; 8.0 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Für die Darstellung der Gewinn- und Verlustrechnung wurde das Gesamtkostenverfahren gewählt. Der Gesellschaftsvertrag enthält keine ausdrücklichen Bestimmungen über anzuwendende Bilanzierungs- und Bewertungsvorschriften.; 8.0 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Bilanzierungs- und Bewertungsgrundsätze;;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Aktiva;;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Anlagevermögen; 8.1 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Immaterielle Vermögensgegenstände werden zu Anschaffungskosten abzüglich planmäßiger linearer Abschreibungen bewertet.; 8.2 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Die Bilanzierung der Sachanlagen erfolgt zu Anschaffungs- bzw. Herstellungskosten unter Berücksichtigung nutzungsbedingter planmäßiger Abschreibungen. In die Herstellungskosten der selbst erstellten Anlagen werden auch anteilige Gemeinkosten in angemessenem Umfang einbezogen. Die Gebäudeabschreibungen bemessen sich nach der geschätzten wirtschaftlichen Nutzungsdauer. Die beweglichen Anlagegüter werden in der Regel geometrisch-degressiv abgeschrieben. Es wird grundsätzlich in dem Jahr von der geometrisch-degressiven Abschreibung auf die lineare Abschreibung übergegangen, indem die gleichmäßige Verteilung des Restwertes auf die Restnutzungsdauer höhere Abschreibungsbeträge ergibt, als die Fortführung der geometrisch-degressiven Abschreibung. Die seit dem Geschäftsjahr 2011 angeschafften beweglichen Anlagegüter werden linear abgeschrieben.; 8.7, 11 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Im Berichtsjahr wurde eine Korrektur der Vorjahre unternommen. Es wurden Sachanlagen in Höhe von 244.221 T€ nachkapitalisiert, der sich daraus ergebende Ertrag wird in den sonstigen betrieblichen Erträgen dargestellt. Die entsprechenden Abschreibungen in Höhe von 101.798 T€ sind in den Abschreibungen auf Sachanlagen berücksichtigt.; 8.7, 10 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Geringwertige Wirtschaftsgüter bis 150 € werden im Jahr des Zugangs voll abgeschrieben. Für Zwecke des Anlagenspiegels wird im Zugangsjahr ein Abgang unterstellt. Für Wirtschaftsgüter deren Anschaffungskosten über 150 € liegen und den Betrag von 1.000 € nicht überschreiten, wird ein Sammelposten eingerichtet und über 5 Jahre linear abgeschrieben.; 8.7 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Sonderposten mit Rücklageanteil; 8.7, 32 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
"Steuerrechtliche Sonderabschreibungen auf Sachanlagen werden unter Anwendung der für sie geltenden Vorschriften des bisherigen § 281 Abs. 1 HGB in der Fassung vor Inkrafttreten des BilMoG beibehalten und als Sonderposten ausgewiesen; im Übrigen werden die steuerbegünstigten Investitionen linear abgeschrieben."; 8.7, 11, 32 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Finanzanlagen; 8.12 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Anteile an verbundenen Unternehmen und Beteiligungen sind zu Anschaffungskosten und in Einzelfällen zu niedrigeren beizulegenden Werten angesetzt.; 8.13 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Die Angaben nach § 285 Nr. 11 und 11a HGB sind als Beteiligungsspiegel dem Anhang beigefügt.; 8.13 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Ausleihungen sind zum Nominalwert bilanziert oder zum niedrigeren Barwert, soweit sie zinslos oder niedrig verzinslich sind.; 8.14 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Vorräte; 8.20 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Die Vorräte werden zu Anschaffungs- bzw. Herstellungskosten oder zu niedrigeren Marktpreisen bewertet. Die Herstellungskosten schließen Abschreibungen sowie Betriebs- und anteilige Verwaltungskosten ein. Gemäß Wertaufholungsgebot sind frühere Abwertungen auf niedrigere Marktpreise wieder zurückgenommen worden, soweit ihr Grund entfallen ist. Die Bewertung der Hilfs- und Betriebsstoffe erfolgt nach der Durchschnittsmethode. Die Rohstoffe sowie Erzeugnisse und Waren werden nach der Fifo Methode bewertet. Für Lagerdauer oder geminderte Verwertbarkeit sind angemessene Abschläge berücksichtigt.; 8.20 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Bilanzierung von Schadstoffemissionsrechten; 23 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Die gesondert unter den Vorräten ausgewiesenen Schadstoffemissionsrechte werden zu Anschaffungskosten (entgeltlicher Erwerb) bzw. zu vorsichtig geschätzten Zeitwerten (unentgeltlicher Erwerb) oder zu niedrigeren Marktwerten bewertet.; 23 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Der Verpflichtung zur Abgabe von Schadstoffemissionsrechten wird durch Dotierung einer Rückstellung für ungewisse Verbindlichkeiten Rechnung getragen.; 23 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Forderungen/Sonstige Vermögensgegenstände; 8.25 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Forderungen und sonstige Vermögensgegenstände wurden zum Nennwert, abzüglich gebildeter Wertberichtigungen für erkennbare Einzelrisiken und angemessene Pauschalabschläge für das allgemeine Kreditrisiko bilanziert.; 8.25 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Flüssige Mittel; 8.33 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Flüssige Mittel werden zum Nennwert bilanziert.; 8.33 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Rechnungsabgrenzungsposten; 8.34 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Als aktive Rechnungsabgrenzungsposten sind Ausgaben vor dem Abschlussstichtag ausgewiesen, soweit sie Aufwand für eine bestimmte Zeit nach diesem Tag darstellen. Aktive Rechnungsabgrenzungsposten sind zu Nennwerten angesetzt.; 8.34 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Allgemein;;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Bei den Gegenständen des Anlage- und Umlaufvermögens sind die in Vorjahren vorgenommenen außerplanmäßigen Abschreibungen und Abwertungen beibehalten worden, soweit die wertmindernden Umstände noch bestehen. In allen anderen Fällen erfolgte die zwingend erforderliche Wertaufholung.; 8.0 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Passiva;;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Eigenkapital; 8.37 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Das Stammkapital ist zum Nennwert bilanziert.; 8.38 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Sonderposten; 32 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Die bestehenden Sonderposten für steuerrechtliche Sonderabschreibungen sowie Übertragungen gemäß § 6b EStG wurden im Zeitpunkt des Inkrafttretens des BilMoG unter Anwendung der für sie geltenden Vorschriften beibehalten und entsprechend dem Abschreibungsverlauf der betroffenen Vermögensgegenstände aufgelöst.; 11, 32 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Rückstellungen; 8.47 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Die Rückstellungen für Pensionen und ähnliche Verpflichtungen sind in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrages angesetzt worden. Das verwendete versicherungsmathematische Verfahren ist das Anwartschaftsbarwertverfahren. Die Berechnungen basieren auf den biometrischen Grundwerten (Wahrscheinlichkeiten für Todes- und Invaliditätsfälle) nach Prof. Dr. Klaus Heubeck (RT 2005 G). Der Diskontierungszinssatz ist der von der Deutschen Bundesbank bekannt gegebene durchschnittliche Marktzinssatz der vergangenen zehn Jahre bei einer Restlaufzeit der Pensionsverpflichtungen von 15 Jahren. Der verwendete Zinssatz von 4,01 % entspricht dem am Stichtag (31. Dezember 2016) erhobenen Zinssatz. Der Unterschiedsbetrag nach § 253 Abs. 6 HGB beträgt 227.458 T€.; 8.48, 34, 35 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Die sonstigen Rückstellungen wurden in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrages angesetzt. Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr werden mit dem ihrer Restlaufzeit entsprechenden durchschnittlichen Marktzins der vergangenen sieben Geschäftsjahre gemäß § 253 (2) HGB abgezinst.; 8.50 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Verbindlichkeiten; 8.51 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
"Verbindlichkeiten sind grundsätzlich mit dem notwendigen Erfüllungsbetrag angesetzt; rentenähnliche Verpflichtungen sind zum Barwert erfasst. Die Wertansätze der Eventualverbindlichkeiten entsprechen dem am Bilanzstichtag bestehenden Haftungsumfang."; 8.51 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Verbundene Unternehmen;;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Als verbundene Unternehmen werden solche Unternehmen angesehen, die in den Konzernabschluss der Royal Dutch Shell plc, London, Großbritannien im Wege der Vollkonsolidierung einbezogen werden.;;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Währungsumrechnung; 8.0 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Die Bewertung der Forderungen und Verbindlichkeiten in fremder Währung erfolgt bei Zugang sowie zum jeweiligen Bilanzstichtag zum Devisenkassamittelkurs. Die langfristigen Forderungen und Verbindlichkeiten werden hierbei unter Beachtung des Niederst- bzw. Höchstwertprinzips bewertet. Die in der Gewinn- und Verlustrechnung ausgewiesenen davon-Vermerke Währungsumrechnung enthalten sowohl realisierte als auch nicht realisierte Währungskursdifferenzen.; 8.0 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Ertragssteuern und Latente Steuern; 8.64 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
Die unmittelbar zu entrichtenden Steuern vom Einkommen und vom Ertrag für die laufende Periode und die früheren Perioden werden mit dem Betrag bemessen, in dessen Höhe eine Erstattung bzw. eine Zahlung der Steuerbehörde erwartet wird. Die Berechnung des Betrags basiert auf dem Steuergesetzesstand und damit denjenigen Steuersätzen, die zum Bilanzstichtag gelten oder angekündigt sind.; 8.64 ;2016;Shell Deutschland Oil GmbH;Jahresabschluss;EY
