Ab PDF S. 10; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Konzernanhang für 2016/2017;;2016/2017;GmbH;Konzernabschluss;EY
"A. Allgemeines
Der vorliegende Konzernabschluss der TAKATA Europe GmbH wurde gemäß § 290 ff. HGB aufgestellt.
Das Mutterunternehmen hat seinen Sitz in Aschaffenburg und ist unter der Nummer HRB 8513 im Handelsregister B des Amtsgerichts Aschaffenburg eingetragen.
Die Erstellung des Konzernabschlusses erfolgte nach den Vorschriften des Handelsgesetzbuches in der Fassung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG). Wesentliche Änderungen durch das BilRUG
ergeben sich vor allem durch eine geänderte Umsatzerlösdefinition sowie eine Überarbeitung der Anhang-Angaben.
Für die Konzern-Gewinn- und Verlustrechnung wird weiterhin das Gesamtkostenverfahren verwendet.
Um die Klarheit der Darstellung der Konzernbilanz und Konzern-Gewinn- und Verlustrechnung zu verbessern, haben wir die Angaben zu davon-Vermerken teilweise in diesem Anhang erläutert.
Infolge der erstmaligen Anwendung der Vorschriften nach dem BilRUG sind die Umsatzerlöse des Geschäftsjahres nicht mit der Angabe für das Vorjahr vergleichbar. Wir verweisen dazu auf die Erläuterung
in Abschnitt D.II 1. Umsatzerlöse."; 49, 83 ;2016/2017;GmbH;Konzernabschluss;EY
B. Erläuterungen zur Konsolidierung und Währungsumrechnung;;2016/2017;GmbH;Konzernabschluss;EY
"I. Konsolidierungskreis
In den Konzernabschluss wurden neben der TAKATA Europe GmbH (Obergesellschaft) folgende Tochterunternehmen einbezogen:
• TAKATA Sachsen GmbH, Elterlein / Deutschland
• TAKATA PlasTec GmbH, Bad Kissingen-Albertshausen / Deutschland
• TAKATA Sibiu S.R.L., Sibiu / Rumänien
• TAKATA Aktiengesellschaft, Aschaffenburg / Deutschland
• TAKATA GmbH Inflator Systems, Aschaffenburg / Deutschland
• TAKATA Parts s.r.o., Rtyn? v Podkrkonoší / Tschechien
• TAKATA Parts Polska Sp. z o.o., Krzeszów / Polen
• TAKATA Spólka z o.o., Krzeszów / Polen
• TAKATA Romania S.R.L., Arad / Rumänien
• TAKATA South Africa (Pty.) Ltd., Durban / Südafrika
• TAKATA Ignition Systems GmbH, Schönebeck / Deutschland
• Takata Safety Systems Hungary Kft., Miskolc / Ungarn
Die Anteile an der SCHROTH Safety Products GmbH, einer Tochtergesellschaft der TAKATA Europe GmbH, wurden zum 22. Februar 2017 entkonsolidiert und daher nicht mehr in den Konsolidierungskreis
einbezogen."; 86   ;2016/2017;GmbH;Konzernabschluss;EY
Seit 1. April 2016 gehört die Takata Safety Systems Hungary Kft., Ungarn zum Konsolidierungskreis der TAKATA Europe GmbH.;;2016/2017;GmbH;Konzernabschluss;EY
Folgende Beträge der Konzernbilanz sowie Konzern-Gewinn- und Verlustrechnung betreffen die erstkonsolidierte bzw. die entkonsolidierte Gesellschaft.;;2016/2017;GmbH;Konzernabschluss;EY
"Aktiva Rückstellungen und Verbindlichkeiten
2016 2017 2016 2017
TEUR TEUR TEUR TEUR
Takata Safety Systems Hungary Kft. 0 136.956 0 58.842
SCHROTH Safety Products GmbH 12.762 0 9.027 0
Umsatzerlöse Materialaufwand
2016 2017 2016 2017
TEUR TEUR TEUR TEUR
Takata Safety Systems Hungary Kft. 0 77.780 0 24.933
SCHROTH Safety Products GmbH 19.035 19.831 5.914 6.287";;2016/2017;GmbH;Konzernabschluss;EY
"Die TAKATA Europe GmbH hält 94 % der Anteile an der TAKATA Aktiengesellschaft sowie jeweils 100 % der Anteile an der TAKATA Sachsen GmbH, an der TAKATA PlasTec GmbH und an der Takata Safety
Systems Hungary Kft., Ungarn. An der TAKATA Sibiu S.R.L., Rumänien hält die TAKATA Europe GmbH 99,99 % und die TAKATA AG 0,01 % der Anteile.
100 % der Anteile an der TAKATA Ignition Systems GmbH werden von der TAKATA Sachsen GmbH gehalten. Die übrigen Gesellschaften befinden sich zu 100 % im Anteilsbesitz der TAKATA Aktiengesellschaft.";;2016/2017;GmbH;Konzernabschluss;EY
"Bei den folgenden Beteiligungen steht der TAKATA Europe GmbH weder direkt noch indirekt maßgeblicher Einfluss zu; er wird auch nicht tatsächlich ausgeübt. Nach § 311 HGB gelten diese Beteiligungen
damit nicht als assoziierte Unternehmen:
• Dalphi Metal España S.A., Vigo / Spanien
• Dalphi Metal Internacional S.A., Vigo / Spanien
• Dalphi Metal Seguridad S.A., Vigo / Spanien
• Dalphi Metal Portugal S.A., Vila Nova de Cerveira / Portugal
• GSB Gesellschaft zur Entsorgung von Sondermüll in Bayern, München / Deutschland
Im laufenden Geschäftsjahr wurde die Beteiligung an der TAKATA Reinsurance Inc., USA, in voller Höhe wertberichtigt.";;2016/2017;GmbH;Konzernabschluss;EY
II. Konsolidierungsgrundsätze;;2016/2017;GmbH;Konzernabschluss;EY
"Die Kapitalkonsolidierung für Unternehmen, die aufgrund eines (Zu-)Erwerbs erstmals konsolidiert wurden, wurde nach der Erwerbsmethode zum Zeitpunkt, zu dem das Unternehmen Tochterunternehmen
geworden ist, vorgenommen.";;2016/2017;GmbH;Konzernabschluss;EY
"Dabei wird der Wertansatz der dem Mutterunternehmen gehörenden Anteile mit dem auf diese Anteile entfallenden Betrag des Eigenkapitals des Tochterunternehmens verrechnet. Das Eigenkapital wird mit dem
Betrag angesetzt, der dem zum Konsolidierungszeitpunkt beizulegenden Zeitwert der in den Konzernabschluss aufzunehmenden Vermögensgegenstände, Schulden, Rechnungsabgrenzungsposten und Sonderposten
entspricht. Ein nach der Verrechnung verbleibender Unterschiedsbetrag wird, wenn er auf der Aktivseite entsteht, als Geschäfts- oder Firmenwert und, wenn er auf der Passivseite entsteht, unter dem Posten
""Unterschiedsbetrag aus der Kapitalkonsolidierung"" nach dem Eigenkapital ausgewiesen."; 92   ;2016/2017;GmbH;Konzernabschluss;EY
"Der für die Bestimmung des Zeitwerts der in den Konzernabschluss aufzunehmenden Vermögensgegenstände, Schulden, Rechnungsabgrenzungsposten und Sonderposten und der für die Kapitalkonsolidierung
maßgebliche Zeitpunkt ist grundsätzlich der, zu dem das Unternehmen Tochterunternehmen geworden ist. Bei Tochterunternehmen, auf deren Einbeziehung bisher gemäß § 296 HGB verzichtet worden war, ist
der Zeitpunkt der Einbeziehung des Tochterunternehmens in den Konzernabschluss maßgeblich.";;2016/2017;GmbH;Konzernabschluss;EY
"Bei der Kapitalkonsolidierung werden die Anschaffungskosten der Anteile mit dem anteiligen Eigenkapital der Tochterunternehmen zum Erwerbszeitpunkt vor dem 1. Januar 2010 nach der Buchwertmethode
verrechnet.";;2016/2017;GmbH;Konzernabschluss;EY
"Bei der Kapital-Erstkonsolidierung der Takata Safety Systems Hungary Kft., Ungarn im Geschäftsjahr 2016/2017 wurde die Neubewertungsmethode zum Zeitpunkt, zu dem das Unternehmen Tochterunternehmen
geworden ist, angewendet. Der Unterschiedsbetrag zwischen dem Beteiligungsbuchwert und dem anteiligen Eigenkapital nach Aufdeckung der stillen Reserven nach der Neubewertung wurde als Geschäfts- oder
Firmenwert aktiviert. Die voraussichtliche Nutzungsdauer des entgeltlich erworbenen Geschäfts- oder Firmenwertes wurde auf 10 Jahre geschätzt."; 92   ;2016/2017;GmbH;Konzernabschluss;EY
Der bis 22. Februar 2017 bestehende Geschäfts- oder Firmenwert der veräußerten SCHROTH Safety Products GmbH wurde mit einer Laufzeit von 5 Jahren abgeschrieben.;;2016/2017;GmbH;Konzernabschluss;EY
Bei der Schuldenkonsolidierung werden konzerninterne Forderungen und Verbindlichkeiten eliminiert. Die Veränderung des Unterschiedsbetrags aus der Schuldenkonsolidierung wird erfolgswirksam erfasst;;2016/2017;GmbH;Konzernabschluss;EY
Umsatzerlöse sowie Aufwendungen und Erträge zwischen den einbezogenen Gesellschaften werden eliminiert.;;2016/2017;GmbH;Konzernabschluss;EY
"Vermögensgegenstände, die ganz oder teilweise auf Lieferungen oder Leistungen zwischen den in den Konzernabschluss einbezogenen Unternehmen beruhen, werden in der Konzernbilanz nach Eliminierung
der Zwischengewinne ausgewiesen.";;2016/2017;GmbH;Konzernabschluss;EY
III. Währungsumrechnung;;2016/2017;GmbH;Konzernabschluss;EY
"Die Währungsumrechnung erfolgt gemäß § 308a HGB. Bei der Umrechnung der ausländischen Abschlüsse, deren funktionale Währung nicht der Euro ist, werden die Bilanzposten und das Jahresergebnis
grundsätzlich zum Devisenkassamittelkurs am Bilanzstichtag umgerechnet. Das Eigenkapital wird jeweils historisch zum Mittelkurs am Tag der Erstkonsolidierung umgerechnet. Die Umrechnung der Posten
der Gewinn- und Verlustrechnung erfolgt zu Durchschnittskursen des Geschäftsjahres. Bei der Umrechnung entstandene Währungsdifferenzen werden, soweit sie aus der Umrechnung der Bilanzposten mit
gegenüber dem Vorjahr veränderten Kursen resultierten, erfolgsneutral in einen separaten Posten des Eigenkapitals eingestellt. Differenzen aus der Umrechnung von Posten der Gewinn- und Verlustrechnung zu
Durchschnittskursen einerseits und der Umrechnung des Jahresergebnisses mit dem Stichtagskurs andererseits werden ergebniswirksam erfasst.";;2016/2017;GmbH;Konzernabschluss;EY
"Forderungen und Verbindlichkeiten in fremder Währung werden zum Brief- bzw. zum Geldkurs am Entstehungstag umgerechnet. Ergeben sich aus der Umrechnung zu den Devisenkassamittelkursen am Bilanzstichtag
niedrigere Forderungen oder höhere Verbindlichkeiten in Euro, werden die Devisenkassamittelkurse am Bilanzstichtag angesetzt. Bei kurzfristigen Fremdwährungsposten mit einer Restlaufzeit von einem
Jahr oder weniger wird gemäß der Rechtslage das Vorsichtsprinzip nicht angewendet. Bei einer Restlaufzeit von mehr als einem Jahr wurde dabei das Realisationsprinzip (§ 298 Abs. 1 i.V.m. § 252 Abs. 1 Nr. 4
Halbsatz 2 HGB) und das Anschaffungskosten-prinzip (§ 298 Abs. 1 i.V.m. § 253 Abs. 1 Satz 1 HGB) beachtet. Im Rahmen der Folgebewertung wurden realisierte und unrealisierte Gewinne unter dem Posten
„Sonstige betriebliche Erträge“ ausgewiesen. Realisierte und unrealisierte Verluste wurden unter dem Posten „Sonstige betriebliche Aufwendungen“ ausgewiesen.";;2016/2017;GmbH;Konzernabschluss;EY
