; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Anhang für das Geschäftsjahr 2016
";;;;;
"Grundlagen
";;;;;
Die apetito AG, Rheine, ist beim Registergericht Steinfurt unter der Handelsregisternummer HR B 4040 gemeldet.; 113 ;2016; apetito AG;Jahresabschluss;PwC
"Die Gesellschaft ist eine große Kapitalgesellschaft gemäß § 267 Abs. 3 HGB. Der Jahresabschluss wurde auf der Grundlage des Handelsgesetzbuches erstellt. Ergänzend waren die Regelungen des Aktiengesetzes zu beachten.

"; 8.0 ;2016; apetito AG;Jahresabschluss;PwC
"Für die Darstellung der Gewinn- und Verlustrechnung wurde das Gesamtkostenverfahren gewählt.

"; 8.0 ;2016; apetito AG;Jahresabschluss;PwC
Durch die Erstanwendung der Vorschriften des am 23. Juli 2015 in Kraft getretenen Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) ändern sich die bisherige Form der Darstellung und die bisher angewandten Ausweismethoden in der Gewinn- und Verlustrechnung. Im Einzelnen werden durch das BilRUG die in den Gliederungsschemata zur Gewinn- und Verlustrechnung enthaltenen Posten „außerordentliche Erträge“ und „außerordentliche Aufwendungen“ sowie dementsprechend die Zwischenergebnisse „Ergebnis der gewöhnlichen Geschäftstätigkeit“ und „außerordentliches Ergebnis“ gestrichen. Eine weitere Änderung der GuV-Gliederungsschemata ist die Einfügung eines Zwischenergebnisses „Ergebnis nach Steuern“ zwischen dem Posten „Steuern vom Einkommen und vom Ertrag“ und dem Posten „Sonstige Steuern“. Diesbezüglich wurde eine entsprechende Anpassung der Vorjahresbeträge gemäß Art. 75 Abs. 2 EGHGB vorgenommen.; 1, 3 ;2016; apetito AG;Jahresabschluss;PwC
Darüber hinaus ergeben sich durch die Erstanwendung des BilRUG im Geschäftsjahr 2016 Ausweisänderungen im Zusammenhang mit der Neudefinition der Umsatzerlöse. Diese betreffen insbesondere die Umsatzerlöse und die sonstigen betrieblichen Erträge sowie die korrespondierenden Aufwandsposten. Insofern sind die entsprechenden Vorjahresbeträge nicht vergleichbar.; 1, 2 ;2016; apetito AG;Jahresabschluss;PwC
Die übrigen Bilanzierungs- und Bewertungsmethoden wurden im Berichtsjahr, mit Ausnahme der Bewertung der Pensionsrückstellungen, fortgeführt.;;2016; apetito AG;Jahresabschluss;PwC
Im Interesse einer besseren Klarheit und Übersichtlichkeit wurden die Vermerke, die wahlweise in Bilanz bzw. Gewinn- und Verlustrechnung oder im Anhang zu machen sind, insgesamt im Anhang aufgeführt.; 7 ;2016; apetito AG;Jahresabschluss;PwC
"Bilanzierungs- und Bewertungsgrundsätze
";;2016; apetito AG;Jahresabschluss;PwC
"Die Bewertung erfolgte nach den allgemeinen Bestimmungen der §§ 252 bis 256a HGB unter Berücksichtigung der ergänzenden Vorschriften für Kapitalgesellschaften.

"; 8.0 ;2016; apetito AG;Jahresabschluss;PwC
Erworbene immaterielle Vermögensgegenstände wurden zu Anschaffungskosten, vermindert um planmäßige Abschreibungen, bewertet. Die Abschreibungen erfolgen grundsätzlich nach der linearen Methode über eine Nutzungsdauer zwischen drei und fünf Jahren.; 8.4 ;2016; apetito AG;Jahresabschluss;PwC
Das Sachanlagevermögen wurde zu Anschaffungskosten abzüglich planmäßiger Abschreibungen entsprechend der betriebsgewöhnlichen Nutzungsdauer angesetzt. Die Abschreibungen werden bei Gebäuden linear sowie beim beweglichen Anlagevermögen bis 2009 degressiv mit linearer Restabschreibung und für Zugänge ab 2010 linear vorgenommen. Die Abschreibungen auf Sachanlagen werden über Nutzungsdauern zwischen zwei und 40 Jahren vorgenommen. Die zugrunde gelegten Nutzungsdauern liegen für Gebäude zwischen 33 und 40 Jahren, für Außenanlagen bei 25 Jahren und für technische Anlagen, Maschinen sowie Betriebs- und Geschäftsausstattung zwischen drei und 15 Jahren.; 8.7 ;2016; apetito AG;Jahresabschluss;PwC
Geleistete Anzahlungen sind zum Nennbetrag angesetzt.; 8.6 ;2016; apetito AG;Jahresabschluss;PwC
Geringwertige Anlagegüter mit Anschaffungskosten bis EUR 1.000,00 wurden zum Zeitpunkt des Zugangs in voller Höhe abgeschrieben.; 8.7 ;2016; apetito AG;Jahresabschluss;PwC
Die Anteile an verbundenen Unternehmen sind zu Anschaffungskosten oder dem niedrigeren beizulegenden Wert angesetzt. Erkennbare Einzelrisiken wurden durch Abschreibungen auf Finanzanlagen berücksichtigt, sofern es sich um voraussichtlich nicht vorübergehende Wertminderungen handelt. Dabei wurden zur Bestimmung des niedrigeren beizulegenden Zeitwerts gemäß IDW RS HFA 10 die Grundsätze der Unternehmensbewertung nach IDW S 1 berücksichtigt und die DCF (Discounted Cashflow)-Methode in Form des Entity-Ansatzes für die Bewertung angewendet. Die Bewertung erfolgt ausgehend von der aktuellen Mittelfristplanung für die Beteiligungsunternehmen für die Jahre 2017 bis 2021.; 8.13 ;2016; apetito AG;Jahresabschluss;PwC
Unter den Beteiligungen werden Anteile an Gemeinschaftsunternehmen ausgewiesen. Diese sind zu Anschaffungskosten unter Berücksichtigung von Anschaffungsnebenkosten angesetzt.; 8.15 ;2016; apetito AG;Jahresabschluss;PwC
"Verzinsliche Ausleihungen wurden zum Nennwert bilanziert.

"; 8.18 ;2016; apetito AG;Jahresabschluss;PwC
Die Vorräte wurden zu Anschaffungs- bzw. Herstellungskosten, gegebenenfalls zum niedrigeren beizulegendem Wert angesetzt. Die Anschaffungskosten der Roh-, Hilfs- und Betriebsstoffe sind grundsätzlich zu den Anschaffungskosten unter Anwendung der fortlaufenden Durchschnittsmethode bewertet. Die Herstellungskosten umfassen neben den Einzelkosten auch anteilige angemessene Gemeinkosten sowie den Werteverzehr des Anlagevermögens, soweit dieser durch die Fertigung veranlasst ist. Fremdkapitalzinsen wurden nicht einbezogen. Ein Teil des Vorratsbestands wird zu Festwerten bilanziert.; 8.20, 9 ;2016; apetito AG;Jahresabschluss;PwC
Forderungen und sonstige Vermögensgegenstände wurden grundsätzlich zu Nennwerten angesetzt. Erkennbare Ausfallrisiken wurden durch Einzelwertberichtigungen berücksichtigt. Dem allgemeinen Kreditrisiko wurde bei den Forderungen aus Lieferungen und Leistungen durch eine Pauschalwertberichtigung Rechnung getragen. Langfristige Forderungen mit einer Restlaufzeit von mehr als einem Jahr betreffen Forderungen aus Geräteverkäufen/-vermietungen und wurden mit laufzeitadäquaten Zinssätzen zwischen 1,67 % und 1,81 % (Vorjahr: 2,16 % - 2,34 %) diskontiert. Die Bewertung des in den sonstigen Vermögensgegenständen ausgewiesenen Körperschaftsteuerguthabens erfolgt zum Barwert unter Berücksichtigung eines Diskontierungszinsfußes von 4,0 %. Die Erstattung des Guthabens erfolgt jährlich zum 30. September bis zum Jahr 2017. Weiterhin werden in den sonstigen Vermögensgegenständen Ansprüche aus Rückdeckungsversicherungen ausgewiesen, die nicht als Deckungsvermögen gemäß § 246 Abs. 2 Satz 2 HGB einzustufen sind. Diese werden zu fortgeführten Anschaffungskosten (Aktivwert) angesetzt.; 8.25 ;2016; apetito AG;Jahresabschluss;PwC
Die liquiden Mittel wurden mit den Nominalwerten aktiviert. Guthaben in fremder Währung werden gem. § 256a HGB zum Devisenkassamittelkurs zum Abschlussstichtag bewertet.; 8.33 ;2016; apetito AG;Jahresabschluss;PwC
"Als aktive Rechnungsabgrenzungsposten sind Auszahlungen vor dem Abschlussstichtag angesetzt, soweit sie Aufwand für einen bestimmten Zeitraum nach diesem Zeitpunkt darstellen.

"; 8.34 ;2016; apetito AG;Jahresabschluss;PwC
"Die Bewertung des Gezeichneten Kapitals erfolgt zum Nennbetrag (§ 272 Abs. 1 HGB).

"; 8.38 ;2016; apetito AG;Jahresabschluss;PwC
Die Kapitalrücklage wurde gem. § 272 Abs. 2 Nr. 4 HGB gebildet.; 8.39 ;2016; apetito AG;Jahresabschluss;PwC
Der Sond erposten für Investitionszuschüsse für Sachanlagevermögen betrifft Zulagen nach dem Investitionszulagengesetz und wurde entsprechend der Stellungnahme HFA 1/1984 des IDW gebildet.;;2016; apetito AG;Jahresabschluss;PwC
Für die Pensionsverpflichtungen wird nicht mehr der von der Deutschen Bundesbank veröffentlichte durchschnittliche Marktzinssatz der vergangenen sieben Geschäftsjahre zugrunde gelegt, sondern der nach § 253 Abs. 2 HGB veränderte Rechnungszins auf Basis der letzten 10 Jahre, der sich bei einer angenommenen Restlaufzeit von 15 Jahren ergibt. Der Differenzbetrag der Rückstellung aus den beiden unterschiedlichen Zinssätzen beträgt unter Berücksichtigung von latenten Steuern T€ 898.; 8.48, 41, 42 ;2016; apetito AG;Jahresabschluss;PwC
Die Pensionsrückstellungen wurden durch versicherungsmathematische Gutachten belegt. Im Geschäftsjahr wurden die Rückstellungen nach dem Anwartschaftsbarwertverfahren berechnet. Dabei wurden als Rechnungszins 4,01 % (Vorjahr: 3,89 %) gemäß Rückstellungsabzinsungsverordnung, als Rententrend 2 % (Vorjahr: 2 %) p.a., als Gehaltstrend 2,5 % (Vorjahr: 2,5 %) p.a., als erwartete Fluktuation 0 % (Vorjahr: 0 %) sowie die Richttafeln 2005 G von Prof. Dr. Klaus Heubeck zugrunde gelegt. Der in der Rückstellungsdotierung enthaltene Zinsanteil in Höhe von TEUR 576 (Vorjahr: TEUR 631) wird nicht im Personalaufwand, sondern gesondert im Zinsaufwand ausgewiesen. Darin enthalten sind auch Effekte aus der Änderung des Abzinsungssatzes gegenüber dem Vorjahr.; 8.48, 41 ;2016; apetito AG;Jahresabschluss;PwC
Jubiläumszahlungen erfolgen bei 10-, 25- und 40-jähriger Betriebszugehörigkeit von Mitarbeitern. Die Berechnung der entsprechenden Rückstellung erfolgt nach dem Anwartschaftsbarwertverfahren mit einem Rechnungszinsfuß von 3,24 % (Vorjahr: 3,89 %).; 8.50 ;2016; apetito AG;Jahresabschluss;PwC
Die Bewertung der Rückstellung für Altersteilzeitverpflichtungen erfolgte unter Berücksichtigung des IDW RS HFA 3, wobei die Aufstockungsbeträge wirtschaftlich Entlohnungscharakter haben. Der Bewertung liegt ein Rechnungszinsfuß von 1,81 % (Vorjahr: 2,34 %) und ein Gehaltstrend von 2,5 % (Vorjahr: 2,5 %) zugrunde.; 8.50 ;2016; apetito AG;Jahresabschluss;PwC
Die Steuerrückstellungen und die sonstigen Rückstellungen sind mit dem nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrag angesetzt. Die sonstigen Rückstellungen mit einer Laufzeit von mehr als einem Jahr werden mit fristadäquaten Zinssätzen abgezinst, die von der Deutschen Bundesbank bekannt gegeben worden sind.; 8.49 ;2016; apetito AG;Jahresabschluss;PwC
"Verbindlichkeiten sind zum Erfüllungsbetrag angesetzt.

"; 8.51 ;2016; apetito AG;Jahresabschluss;PwC
Als passive Rechnungsabgrenzungsposten sind Einzahlungen vor dem Abschlussstichtag angesetzt, soweit sie Ertrag für einen bestimmten Zeitraum nach diesem Stichtag darstellen.; 8.63 ;2016; apetito AG;Jahresabschluss;PwC
Latente Steuern werden für zeitliche Unterschiede zwischen den handelsrechtlichen und steuerlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten der apetito AG und der apetito convenience ermittelt. Die Ermittlung der latenten Steuern erfolgt dabei auf Basis des kombinierten Ertragsteuersatzes von aktuell 31,0 % (Vorjahr: 31,0 %), der Körperschaftsteuer, Gewerbeertragsteuer und Solidaritätszuschlag. Abweichend hiervon werden latente Steuern aus dem unterschiedlichen Wertansatz der Beteiligung an der COSTA in der Rechtsform einer Personengesellschaft auf Basis eines kombinierten Ertragsteuersatzes von derzeit 15,8 % ermittelt, der lediglich Körperschaftsteuer und Solidaritätszuschlag beinhaltet. Zum Bilanzstichtag ergab sich insgesamt ein aktiver Überhang latenter Steuern, der unter Berücksichtigung des Wahlrechts gemäß § 274 Abs. 1 Satz 2 HGB nicht in der Bilanz angesetzt wird. Das Wahlrecht des § 274 Abs. 1 Satz 3 HGB zum unverrechneten Ansatz der ermittelten aktiven und passiven latenten Steuern wurde ebenfalls nicht in Anspruch genommen, da der verrechnete Ausweis ein den tatsächlichen Verhältnissen entsprechendes Bild der Vermögens- und Finanzlage besser vermittelt.; 8.64, 27 ;2016; apetito AG;Jahresabschluss;PwC
