Ab S. 23; Annotierung (Angabe Nummer in Anahngscheckliste) ;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
Konzernanhang FšR DAS GESCHFTSJAHR 2016;;2016;asknet AG;Konzernabschluss;Ebner Stolz
RECHNUNGSLEGUNGSGRUNDSTZE;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Allgemeine Hinweise;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Der vorliegende Konzernabschluss der asknet AG mit Sitz in Karlsruhe (Amtsgericht Mannheim, HRB 108713) wurde gem„á õõ 290 ff. HGB aufgestellt.; 84   ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die fr einzelne Posten geforderten Zusatzangaben haben wir in den Anhang bernommen.; 5   ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Gesch„ftsjahr ist das Kalenderjahr.; 9   ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die Konzern-Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren aufgestellt.; 9   ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Konsolidierungskreis;;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Der Konzernabschluss umfasst die asknet AG, Karlsruhe, als Muttergesellschaft sowie die im Rahmen der Vollkonsolidierung einbezogenen 100 % igen Tochtergesellschaften asknet Inc., San Francisco / USA,
asknet KK, Tokio /Japan sowie asknet Switzerland GmbH, Uster / Schweiz."; 69   ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Bilanzierungs- und Bewertungsgrunds„tze;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Aufgrund der Umwidmung der im Vorratsverm”gen ausgewiesenen Lizenzen der asknet AG wurden diese zum 31. Dezember 2016 ins Anlageverm”gen umgegliedert (TEUR 519).; 2,9.4 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Darber hinaus waren fr die Aufstellung des Konzernabschlusses unver„ndert die nachfolgenden Bilanzierungs- und Bewertungsmethoden maágebend.; 9   ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die Abschlsse der in den Konzernabschluss der Muttergesellschaft einbezogenen Unternehmen wurden nach einheitlichen Bilanzierungs- und Bewertungsgrunds„tzen erstellt.; 9   ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Erworbene immaterielle Verm”gensgegenst„nde des Anlageverm”gens sind zu Anschaffungskosten bilanziert und werden, sofern sie der Abnutzung unterliegen, entsprechend ihrer Nutzungsdauer um planm„áige
Abschreibungen vermindert."; 9.2 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Das Sachanlageverm”gen ist zu Anschaffungs- bzw. Herstellungskosten angesetzt und wird um planm„áige Abschreibungen (lineare Methode) nach Maágabe der voraussichtlichen Nutzungsdauer vermindert.; 9.7 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Seit dem 1. Januar 2010 werden geringwertige Wirtschaftsgter im Jahr des Zugangs voll abgeschrieben.; 9.77 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die Abschreibungen auf Zug„nge des Sachanlageverm”gens werden im šbrigen zeitanteilig vorgenommen.; 9.78 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Alle erkennbaren Risiken im Vorratsverm”gen, die sich aus geminderter Verwertbarkeit und niedrigeren Wiederbeschaffungskosten ergeben, sind durch angemessene Abwertungen bercksichtigt. Handelswaren
sind zu Anschaffungskosten oder niedrigeren Marktpreisen bilanziert."; 9.21 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Abgesehen von handelsblichen Eigentumsvorbehalten sind die Vorr„te frei von Rechten Dritter.; 9.21 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Forderungen und sonstige Verm”gensgegenst„nde sind zum Nennwert angesetzt. Allen risikobehafteten Posten ist durch die Bildung angemessener Einzelwertberichtigungen Rechnung getragen; das allgemeine
Kreditrisiko ist durch pauschale Abschl„ge bercksichtigt."; 9.25 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die flssigen Mittel sind zum Nennwert am Bilanzstichtag angesetzt.; 9.33 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Als aktive Rechnungsabgrenzungsposten sind Auszahlungen vor dem Abschlussstichtag angesetzt, soweit sie Aufwand fr einen bestimmten Zeitraum nach diesem Zeitpunkt darstellen.; 9.34,22 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Das Grundkapital und die Kapitalrcklage werden zum Nennwert angesetzt.; 9.37,9.38 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Die sonstigen Rckstellungen bercksichtigen alle ungewissen Verbindlichkeiten und drohenden Verluste aus schwebenden Gesch„ften. Sie sind in der H”he des nach vernnftiger kaufm„nnischer Beurteilung
notwendigen Erfllungsbetrags (d. h. einschlieálich zuknftiger Kosten- und Preissteigerungen) angesetzt."; 9.50 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die Verbindlichkeiten wurden mit den Erfllungsbetr„gen angesetzt.; 9.51 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Als passive Rechnungsabgrenzungsposten sind Einzahlungen vor dem Abschlussstichtag angesetzt, soweit sie Ertrag fr einen bestimmten Zeitraum nach diesem Zeitpunkt darstellen.; 9.63 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Auf fremde W„hrung lautende Verm”gensgegenst„nde und Verbindlichkeiten wurden grunds„tzlich mit dem Devisenkassamittelkurs zum Abschlussstichtag umgerechnet. Bei einer Restlaufzeit von mehr als
einem Jahr wurde dabei das Realisationsprinzip (õ 298 Abs. 1 i.V.m. õ 252 Abs. 1 Nr. 4 Halbsatz 2 HGB) und das Anschaffungskostenprinzip (õ 298 Abs. 1 i.V.m. õ 253 Abs. 1 Satz 1 HGB) beachtet."; 9 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Die Aktiv- und Passivposten der in ausl„ndischer W„hrung aufgestellten Jahresabschlsse wurden, mit Ausnahme des Eigenkapitals (gezeichnetes Kapital, Rcklagen, Ergebnisvortrag zu historischen Kursen)
zum jeweiligen Devisenkassamittelkurs am Abschlussstichtag in Euro umgerechnet."; 9 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Die Posten der Gewinn- und Verlustrechnung sind zum Durchschnittskurs in Euro umgerechnet. Die sich ergebende Umrechnungsdifferenz ist innerhalb des Konzerneigenkapitals nach den Rcklagen unter dem
Posten ""Eigenkapitaldifferenz aus W„hrungsumrechnung"" ausgewiesen."; 9 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Latente Steuern werden auf die Unterschiede in den Bilanzans„tzen der Handelsbilanz und der Steuerbilanz angesetzt, sofern sich diese in sp„teren Gesch„ftsjahren voraussichtlich abbauen. Aktive und passive
latente Steuern werden saldiert ausgewiesen. Im Falle eines Aktivberhangs der latenten Steuern zum Bilanzstichtag wird von dem Aktivierungswahlrecht des õ 274 Abs. 1 Satz 2 HGB kein Gebrauch gemacht."; 9 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Konsolidierungsgrunds„tze;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die Kapitalkonsolidierung fr Erstkonsolidierungen vor 2010 erfolgte nach der Buchwertmethode zum Zeitpunkt der erstmaligen Konsolidierung.; 86 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die Kapitalkonsolidierung fr Erstkonsolidierungen seit 2010 erfolgte nach der Neubewertungsmethode.; 86 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Forderungen und Verbindlichkeiten, Ums„tze, Aufwendungen und Ertr„ge zwischen den Konzernunternehmen wurden eliminiert. Zwischenergebniseliminierungen waren nicht vorzunehmen.; 100 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Latente Steuern ergaben sich nicht.; 24 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
ERLUTERUNGEN ZUR KONZERNBILANZ;;2016;asknet AG;Konzernabschluss;Ebner Stolz
Anlageverm”gen; 5.1 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die Entwicklung der einzelnen Posten des Anlageverm”gens ist unter Angabe der Abschreibungen des Gesch„ftsjahres im Anlagenspiegel dargestellt.; 5.1 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Forderungen und sonstige Verm”gensgegenst„nde; 5.25 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Die Forderungen und sonstigen Verm”gensgegenst„nde haben wie im Vorjahr, bis auf die Solidarbrgschaft der Eidgen”ssischen Steuerverwaltung (CHF 23.000), eine Restlaufzeit bis zu einem Jahr.; 5.25 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Flssige Mittel; 5.33 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Von den Guthaben bei Kreditinstituten sind TEUR 150 als Sicherheiten fr Avalzusagen gebunden.; 5.33 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Eigenkapital; 5.37 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Gezeichnetes Kapital; 5.38 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
"Das gezeichnete Kapital betr„gt EUR 5.094.283,00 und entspricht dem bei der Muttergesellschaft ausgewiesenen Posten. Es ist in nennwertlose, auf den Namen lautende Stckaktien (Stammaktien) eingeteilt.
Jede Stckaktie gew„hrt eine Stimme. Das gezeichnete Kapital wurde in voller H”he einbezahlt."; 5.38,21 ;2016;asknet AG;Konzernabschluss;Ebner Stolz
Der Konzernbilanzverlust entwickelte sich wie folgt:;;2016;asknet AG;Konzernabschluss;Ebner Stolz
"in T?
01.01.2016 -1.095,1
Konzernjahresfehlbetrag -2.495,5
31.12.2016 -3.590,6";;2016;asknet AG;Konzernabschluss;Ebner Stolz
Genehmigtes Kapital;;2016;asknet AG;Konzernabschluss;Ebner Stolz
