Anhang; Annotierung (Angabe Nummer in Anhangcheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang für das Geschäftsjahr 2016;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Der Konzernabschluss wurde freiwillig in Zusammenarbeit mit dem Steuerberater erstellt, eine Prüfung durch den Wirtschaftsprüfer erfolgt nicht. Die dargestellten Vorjahreswerte als Vergleichszahlen sind die
Zahlen der mVISE AG. Auf gesonderte Angaben nach § 294 Abs. 2 HGB zum Vorjahresvergleich wurde aus Vereinfachungsgründen verzichtet."; 9.0 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
7.1 Allgemeine Angaben;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Die Muttergesellschaft des mVISE Konzerns ist die mVISE AG, Wanheimer Str. 66, 40472 Düsseldorf, Deutschland. Die Gesellschaft ist im Handelsregister, Abteilung B, unter der Nummer 76863 beim
Amtsgericht Düsseldorf eingetragen. Gegenstand des Unternehmens ist die Beratung in Soft- und Hardwarefragen, die Entwicklung und der Vertrieb von Softwarelösungen, sowie die Durchführung von Schulungsund
Weiterbildungsmaßnahmen im Bereich Datenverarbeitung/Datenschutz."; 160, 218 ;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Nach den in § 293 HGB angegebenen Größenklassen besteht keine gesetzliche Pflicht für einen Konzernabschluss. Die Aufstellung des Konzernabschlusses erfolgt freiwillig.;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Die Gesellschaft ist im Handelssegment Basic Board innerhalb des Freiverkehrs notiert.;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Die mVISE AG unterhält eine Zweigstelle in Frankfurt/Main, und plant ab 2017 zwei neue Niederlassungen in Hamburg und Berlin, um weitere interessante Märkte zu erschließen und Neukunden zu gewinnen.;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
7.2 Konsolidierungskreis;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
Der Konzernabschluss umfasst die Abschlüsse der mVISE AG als Mutterunternehmen und der Just Intelligence ab dem 01.10.2016 zum 31. Dezember des Geschäftsjahres.;;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
"Nachfolgend dargestellt ist der Anteilsbesitz der mVISE AG:
Tochtergesellschaft Anteil am Kapital Buchwert der Anteile
Eigenkapital der Tochtergesellschaft
Ergebnis 2016
Just Intelligence GmbH, Hamburg (Deutschland) 50,1% 640 TEUR 1.025 TEUR 297 TEUR
In den Konzernabschluss einbezogen wurde lediglich die Just Intelligence GmbH. Hinsichtlich der mVISE Professional GmbH wurde auf Grund des seit mehreren Jahren ruhenden Geschäftsbetriebs sowie ihrer
Unwesentlichkeit auf die Einbeziehung in den Konzernabschluss gemäß § 296 Abs. 2 HGB verzichtet.
Änderungen der Umsatzerlöse aufgrund der erstmaligen Anwendung des BilRUG waren nicht notwendig.";165;2016; mVISE AG;Konzernabschluss;Wilfried Groos, Wirtschaftsprüfer
